Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"MORGAN STANLEY",895421,MS,NYSE,363145972,"1585 BROADWAY",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10036,"(212) 761-4000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523120,"Securities Brokerage",34,"Deloitte & Touche LLP",3,,,,"62,800,000","7,100,000",0,0,"1,100,000",,,"400,000","8,600,000","71,400,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-04-06,85.24,2022-12-29,"144,064,921,600",2022-12-31,"53,388,000,000","11,029,000,000","75,871,000,000","1,180,231,000,000"
"Apollo Global Management, Inc.",1858681,APO,NYSE,863155788,"9 WEST 57TH STREET, 42ND FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 515-3200",DE,,,6282,"Investment Advice",0,,34,"Deloitte & Touche LLP",3,,,,"62,499,000","1,856,000",0,0,"57,000,000","49,501,000","7,499,000",0,"58,856,000","121,355,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-08-18,63.57,2022-12-29,"36,380,069,888",2022-12-31,"-2,837,000,000","-3,213,000,000","-2,893,000,000","259,333,000,000"
"DEUTSCHE BANK AKTIENGESELLSCHAFT",1159508,DB,NYSE,000000000,"TAUNUSANLAGE 12","1 COLUMBUS CIRCLE, 19TH FLOOR","FRANKFURT AM MAIN",,2M,GERMANY,Foreign,60325,"(212) 250-1306",2M,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft (Inactive)",271,GERMANY,"62,174,426","8,430,431",0,0,0,,,"1,053,804","9,484,234","71,658,661",USD,,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-20,11.43,2022-12-29,"23,615,457,280",2022-12-31,"27,413,000,000","5,785,000,000","68,045,000,000","1,434,626,000,000"
"Blackstone Inc.",1393818,BX,NYSE,208875684,"345 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10154,"(212) 583-5000",DE,,,6282,"Investment Advice",523920,"Portfolio Management",34,"Deloitte & Touche LLP",3,,,,"62,039,000","22,765,000",0,0,"108,448,000",,,0,"131,213,000","193,252,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000",10-K,2023-02-24,74.19,2022-12-31,"52,695,445,504",2022-12-31,"8,200,448,000","1,747,631,000","7,263,428,000","42,524,227,000"
"METLIFE INC",1099219,MET,NYSE,134075851,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-5500",DE,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"60,600,000","7,800,000",0,0,"3,300,000","2,100,000","1,200,000","600,000","11,700,000","72,300,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-04-28,72.37,2022-12-31,"56,383,352,832",2022-12-31,"69,898,000,000","2,539,000,000","17,743,000,000","666,611,000,000"
"KKR & Co. Inc.",1404912,KKR,NYSE,881203639,"30 HUDSON YARDS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001,"(212) 750-8300",,,,6282,"Investment Advice",523930,"Investment Advice",34,"Deloitte & Touche LLP",3,,,,"58,959,000","12,562,000",0,0,"56,944,000","44,389,000","12,555,000","443,000","69,949,000","128,908,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000",10-K,2023-02-27,46.42,2022-12-31,"39,972,749,312",2022-12-31,"4,083,236,000","-841,130,000","22,629,979,000","277,077,191,000"
"GENERAL ELECTRIC CO",40545,GE,NYSE,140689340,"1 NEUMANN WAY",,EVENDALE,Hamilton,OH,OHIO,"US Midwest",45215,"(617) 443-3000",NY,,,3600,"Electronic & Other Electrical Equipment (No Computer Equip)",333611,"Turbine and Turbine Generator Set Units Manufacturing",34,"Deloitte & Touche LLP",3,,,,"57,600,000","40,300,000",0,0,"600,000",,,"100,000","41,000,000","98,600,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-16,65.38,2022-12-31,"56,796,975,104",2022-12-31,"76,556,000,000","224,000,000","2,942,000,000","187,787,000,000"
"UBS AG",1114446,AMUB,"NYSE Arca",000000000,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,"CH 8001","(203) 719-5241",V8,1610520,"UBS Group AG",6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LTD",160,SWITZERLAND,"56,000,000","11,000,000",0,0,"2,000,000",,,"1,000,000","14,000,000","70,000,000",USD,,Uncertain,0,2022-12-31,2022,12,1231,,,20-F,2024-03-28,36.9086,2022-12-29,"141,819,297,792",2022-12-31,"36,709,000,000","7,084,000,000","50,331,000,000","1,105,435,000,000"
"UBS Group AG",1610520,UBS,NYSE,,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,CH-8001,41-44-234-1111,V8,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LTD",160,SWITZERLAND,"56,000,000","11,000,000",0,0,"2,000,000",,,"1,000,000","14,000,000","70,000,000",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-06,18.8,2022-12-29,"72,550,244,352",2022-12-31,"36,357,000,000","7,630,000,000","50,609,000,000","1,104,363,000,000"
"BANK OF AMERICA CORP /DE/",70858,BAC,NYSE,560906609,"BANK OF AMERICA CORPORATE CENTER","100 N TRYON ST",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28255,"(704) 386-8486",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,,,,"55,500,000","7,000,000",0,0,"5,900,000",,,0,"12,900,000","68,400,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-07,33.14,2022-12-29,"265,863,397,376",2022-12-31,"92,407,000,000","27,528,000,000","204,175,000,000","3,051,375,000,000"
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,SMFG,NYSE,,"1-2, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-0005,81-3-3282-8111,M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"55,411,956","2,369,327",0,0,"498,806",,,"160,330","3,028,462","58,440,419",USD,,,0,2022-03-31,2022,03,0331,,,20-F,2022-06-29,6.68,2022-03-29,"45,892,939,776",2022-03-31,"25,850,000,000","4,244,000,000","96,359,000,000","2,044,580,000,000"
"BERKSHIRE HATHAWAY INC",1067983,BRK.A,NYSE,470813844,"3555 FARNAM STREET",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68131,"(402) 346-1400",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"Deloitte & Touche LLP",3,,,,"52,100,000","900,000",0,0,"500,000",,,"600,000","2,000,000","54,100,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-17,468711,2022-12-31,"277,272,526,848",2022-12-31,"234,121,000,000","-22,759,000,000","365,054,000,000","948,452,000,000"
"PRUDENTIAL FINANCIAL INC",1137774,PRU,NYSE,223703799,"751 BROAD ST",,NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102,"(973) 802-6000",NJ,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"51,000,000","17,000,000",0,0,"3,000,000","1,400,000","1,600,000",0,"20,000,000","71,000,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-23,99.88,2022-12-29,"36,755,841,024",2022-12-31,"56,881,000,000","-1,647,000,000",,"689,917,000,000"
"BP PLC",313807,BP,NYSE,000000000,"1 ST JAMES'S SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,"SW1Y 4PD",442074964000,X0,,,2911,"Petroleum Refining",324110,"Petroleum Refineries",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","51,000,000","4,000,000","1,000,000",0,0,,,0,"5,000,000","56,000,000",USD,,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-10,34.7,2022-12-29,"120,166,572,032",2022-12-31,"241,392,000,000","-1,357,000,000","45,393,000,000","288,120,000,000"
"AMERICAN INTERNATIONAL GROUP, INC.",5272,AIG,NYSE,132592361,"1271 AVE OF THE AMERICAS","FL 37","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10020-1304,"(212) 770-7000",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"49,200,000","44,900,000",0,0,"3,000,000",,,"300,000","48,200,000","97,400,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-29,63.24,2022-12-31,"46,426,259,456",2022-12-31,"56,437,000,000","10,276,000,000",,"526,634,000,000"
"INTERNATIONAL BUSINESS MACHINES CORP",51143,IBM,NYSE,130871985,"1 NEW ORCHARD ROAD",,ARMONK,Westchester,NY,"NEW YORK","US Mid Atlantic",10504,"(914) 499-1900",NY,,,3570,"Computer & office Equipment",334111,"Electronic Computer Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"48,900,000","21,300,000",0,0,"800,000",,,"600,000","22,700,000","71,600,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-06,140.89,2022-12-31,"127,659,294,720",2022-12-31,"60,530,000,000","1,639,000,000","-45,187,000,000","127,245,000,000"
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,000000000,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Aarata LLC",241,JAPAN,"48,633,545","463,177",0,0,"3,126,442",,,"1,612,211","5,201,830","53,835,374",USD,Yes,,0,2022-03-31,2022,03,0331,,,20-F,2022-06-23,184.81,2022-03-29,"258,359,640,064",2022-03-31,"258,534,000,000","23,684,000,000","206,418,000,000","557,683,000,000"
"BROOKFIELD Corp /ON/",1001085,BN,NYSE,980521601,"BROOKFIELD PLACE, 181 BAY ST, STE 100","PO BOX 762",TORONTO,,A6,ONTARIO,Canada,"M5J 2T3","(416) 363-9491",A6,,,6512,"Operators of Nonresidential Buildings",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"Deloitte & Touche LLP",3,"Deloitte LLP",468,ONTARIO,"47,600,000","59,200,000",0,0,"3,700,000",,,"500,000","63,400,000","111,000,000",USD,Yes,,0,2022-12-31,2022,12,1231,,,40-F,2023-03-24,31.46,2022-12-30,"51,609,968,640",2022-12-31,"82,067,000,000","5,195,000,000","-23,320,000,000","441,284,000,000"
"BARCLAYS BANK PLC",312070,DJP,"NYSE Arca",000000000,"1 CHURCHILL PLACE",*,LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",0044-20-3555-4619,X0,312069,"BARCLAYS PLC",6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","47,005,550","9,895,905",0,0,0,,,"1,236,988","11,132,894","58,138,444",USD,,Yes,0,2022-12-31,2022,12,1231,,,20-F,2023-02-15,,,,2022-12-31,"24,066,000,000","5,271,000,000","68,912,000,000","1,447,742,000,000"
"MIZUHO FINANCIAL GROUP INC",1335730,MFG,NYSE,000000000,"1-5-5, OTEMACHI",,"CHIYODA-KU, TOKYO",,M0,JAPAN,Foreign,100-8176,81-3-5224-1111,M0,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"Ernst & Young LLP",2,"Ernst & Young ShinNihon LLC",48,JAPAN,"46,647,230","2,333,698",0,0,"1,638,933",,,"133,609","4,106,239","50,753,468",USD,,,0,2022-03-31,2022,03,1231,,,20-F,2022-07-01,2.76,2022-03-29,"3,504,164,864",2022-03-31,"12,281,000,000","-863,000,000","72,285,000,000","1,907,730,000,000"
"Lloyds Banking Group plc",1160106,LYG,NYSE,000000000,"25 GRESHAM STREET",,LONDON,,X0,"UNITED KINGDOM",Foreign,"EC2V 7HN","44 0 20 7626 1500",X0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","46,634,454","1,855,482",0,0,0,,,"6,184,941","8,040,423","54,674,877",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-02-24,2.22,2022-12-29,"39,417,540,608",2022-12-31,"-8,262,000,000","4,719,000,000","43,367,000,000","1,050,611,000,000"
"WPP plc",806968,WPP,NYSE,000000000,"27 FARM STREET","18 UPPER GROUND",LONDON,,X0,"UNITED KINGDOM",Foreign,"W1J 5RJ","440 20 7282 4600",X0,,,7311,"Advertising Agencies",541810,"Advertising Agencies",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","45,644,863","494,795",0,0,"123,699",,,"742,193","1,360,687","47,005,550",USD,Uncertain,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-23,49.16,2022-12-31,"10,517,539,840",2022-12-31,"17,357,000,000","932,000,000","-7,487,400,000","34,670,800,000"
"NatWest Group plc",844150,NWG,NYSE,000000000,GOGARBURN,"PO BOX 1000","EDINBURGH, SCOTLAND",,X0,"UNITED KINGDOM",Foreign,"EH12 1HQ",441315568555,X0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LLP",57,"UNITED KINGDOM","45,273,767","4,824,254",0,0,0,,,"2,102,880","6,927,134","52,200,901",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-02-24,6.48,2022-12-29,"34,502,193,152",2022-12-31,"15,825,000,000","4,324,000,000","35,331,000,000","866,156,000,000"
"METROPOLITAN LIFE INSURANCE CO",937834,,,135581829,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-9000",NY,1099219,"METLIFE INC",6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"44,300,000","3,900,000",0,0,0,,,"100,000","4,000,000","48,300,000",USD,,Uncertain,0,2022-12-31,2022,12,1231,,,10-K,2023-03-09,,,,2022-12-31,"45,360,000,000","3,271,000,000","14,369,000,000","385,840,000,000"
"JOHNSON & JOHNSON",200406,JNJ,NYSE,221024240,"ONE JOHNSON & JOHNSON PLZ",,"NEW BRUNSWICK",Middlesex,NJ,"NEW JERSEY","US Mid Atlantic",08933,"(732) 524-2455",NJ,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"43,995,000","32,620,000",0,0,"1,100,000",,,"1,580,000","35,300,000","79,295,000",USD,,,0,2023-01-01,2022,12,1230,"S&P 500","Russell 1000","DEF 14A",2023-03-15,177.56,2022-12-29,"464,227,696,640",2022-12-31,"94,943,000,000","17,941,000,000",,"175,124,000,000"
"MICROSOFT CORP",789019,MSFT,"NASDAQ Global Select Market",911144442,"ONE MICROSOFT WAY",,REDMOND,King,WA,WASHINGTON,"US West",98052-6399,"(425) 882-8080",WA,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"43,345,000","9,617,000",0,0,"4,545,000",,,"10,000","14,172,000","57,517,000",USD,,,0,2022-06-30,2022,06,0630,"S&P 500","Russell 1000","DEF 14A",2022-10-27,256.83,2022-06-30,"1,916,979,118,080",2022-06-30,"198,270,000,000","72,738,000,000","87,720,000,000","364,840,000,000"
"Apollo Asset Management, Inc.",1411494,,,208880053,"9 WEST 57TH STREET, 42ND FLOOR",,"new York","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 515-3200",DE,1858681,"Apollo Global Management, Inc.",6282,"Investment Advice",541611,"Administrative Management and General Management Consulting Services",34,"Deloitte & Touche LLP",3,,,,"42,282,000","1,372,000",0,0,"55,806,000","48,930,000","6,876,000",0,"57,178,000","99,460,000",USD,,,0,2022-12-31,2022,12,1231,,,10-K,2023-03-01,,,,2022-12-31,"3,420,847,000","933,867,000","2,616,421,000","13,793,947,000"
"Stellantis N.V.",1605484,STLA,NYSE,,"TAURUSAVENUE 1",,HOOFDDORP,,P7,NETHERLANDS,Foreign,2132LS,"31 237001511",P7,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"Ernst & Young LLP",2,"EY SpA",742,ITALY,"41,203,730","210,761",0,0,0,,,0,"210,761","41,414,491",USD,,,0,2022-12-31,2022,12,1231,,,20-F,2023-02-24,14.34,2022-12-29,"44,921,749,504",2022-12-31,"191,671,000,000","17,908,000,000","22,685,000,000","198,677,000,000"
"WELLS FARGO & COMPANY/MN",72971,WFC,NYSE,410449260,"333 MARKET STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(800) 869-3557",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"40,400,000","3,300,000",0,0,"2,000,000",,,0,"5,300,000","45,700,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-15,41.29,2022-12-31,"158,297,784,320",2022-12-31,"72,251,000,000","13,182,000,000","154,716,000,000","1,881,016,000,000"
"Sony Group Corp",313838,SONY,NYSE,000000000,"1-7-1, KONAN",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,141-0001,81-3-6748-2111,M0,,,3651,"Household Audio and Video Equipment",334310,"Audio and Video Equipment Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Aarata LLC",241,JAPAN,"40,207,293","1,558,767",0,0,0,,,"142,516","1,701,283","41,908,576",USD,,,0,2022-03-31,2022,03,0331,,,20-F,2022-06-28,105.8,2022-03-29,"131,110,281,216",2022-03-31,"81,743,000,000","7,320,000,000","47,304,000,000","251,131,000,000"
"HONDA MOTOR CO LTD",715153,HMC,NYSE,000000000,"1-1, MINAMI-AOYAMA 2-CHOME",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,105-8404,81334231111,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"39,138,424","1,211,385",0,0,0,,,"97,980","1,309,365","40,447,789",USD,Uncertain,,0,2022-03-31,2022,03,0331,,,20-F,2022-06-22,29.05,2022-03-29,"50,159,337,472",2022-03-31,"119,899,000,000","6,267,000,000","79,286,000,000","197,513,000,000"
