Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Blackstone Inc.",1393818,BX,NYSE,208875684,"345 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10154,"(212) 583-5000",DE,,,6282,"Investment Advice",523920,"Portfolio Management",34,"Deloitte & Touche LLP",3,,,,"73,997,000","31,304,000",0,0,"109,644,000",,,"78,000","141,026,000","215,023,000",USD,,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000",10-K,2025-02-28,173.75,2025-01-02,"125,447,970,816",2024-12-31,"12,786,280,000","2,776,508,000","6,958,275,000","43,469,875,000"
"KKR & Co. Inc.",1404912,KKR,NYSE,881203639,"30 HUDSON YARDS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001,"(212) 750-8300",,,,6282,"Investment Advice",523930,"Investment Advice",34,"Deloitte & Touche LLP",3,,,,"65,999,000","11,970,000",0,0,"78,323,000","63,215,000","15,108,000","230,000","90,523,000","156,522,000",USD,,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000",10-K,2025-02-28,149.19,2025-01-02,"132,514,873,344",2024-12-31,"18,572,784,000","3,076,245,000","31,486,305,000","360,099,411,000"
"MORGAN STANLEY",895421,MS,NYSE,363145972,"1585 BROADWAY",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10036,"(212) 761-4000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523120,"Securities Brokerage",34,"Deloitte & Touche LLP",3,,,,"64,300,000","9,700,000",0,0,"400,000",,,"200,000","10,300,000","74,600,000",USD,,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-04,124.78,2025-01-02,"201,025,011,712",2024-12-31,"61,497,000,000","13,390,000,000","81,352,000,000","1,215,071,000,000"
"MITSUBISHI UFJ FINANCIAL GROUP INC",67088,MUFG,NYSE,000000000,"4-5, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-8330,"(212) 530-1784",M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte Touche Tohmatsu LLC",19,JAPAN,"62,228,569","4,004,912",0,0,"720,607",,,0,"4,725,519","66,954,088",USD,Yes,,0,2024-03-31,2024,03,0331,,,20-F,2024-07-30,9.94,2024-04-02,"126,115,848,192",2024-03-31,"31,450,000,000","8,775,000,000","104,954,000,000","2,628,568,000,000"
"METLIFE INC",1099219,MET,NYSE,134075851,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-5500",DE,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"60,200,000","5,400,000",0,0,"4,900,000","3,000,000","1,900,000","1,400,000","11,700,000","71,900,000",USD,Uncertain,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-29,81.78,2025-01-02,"56,626,143,232",2024-12-31,"70,986,000,000","4,426,000,000","18,544,000,000","677,457,000,000"
"Shell plc",1306965,SHEL,NYSE,000000000,"SHELL CENTRE","2 YORK ROAD",LONDON,,X0,"UNITED KINGDOM",Foreign,"SE1 7NA",044-20-7934-1234,DC,,,1311,"Crude Petroleum and Natural Gas",213112,"Support Activities for Oil and Gas Operations",34,"Ernst & Young LLP",2,"Ernst & Young LLP",57,"UNITED KINGDOM","60,000,000","2,000,000","1,000,000",0,0,,,"3,000,000","6,000,000","66,000,000",USD,,,0,2024-12-31,2024,12,1231,,,20-F,2025-03-25,63.1,2025-01-02,"204,642,631,680",2024-12-31,"284,312,000,000","16,094,000,000","152,795,000,000","387,609,000,000"
"BANK OF AMERICA CORP /DE/",70858,BAC,NYSE,560906609,"BANK OF AMERICA CORPORATE CENTER","100 N TRYON ST",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28255,"(704) 386-8486",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,,,,"59,800,000","6,700,000",0,0,"5,700,000",,,0,"12,400,000","72,200,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-10,44.29,2025-01-02,"339,831,848,960",2024-12-31,"96,066,000,000","27,132,000,000","226,538,000,000","3,261,519,000,000"
"BERKSHIRE HATHAWAY INC",1067983,BRK.A,NYSE,470813844,"3555 FARNAM STREET",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68131,"(402) 346-1400",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"Deloitte & Touche LLP",3,,,,"59,600,000","1,500,000",0,0,"600,000",,,"700,000","2,800,000","62,400,000",USD,Uncertain,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-14,680920,2024-12-31,"372,845,903,872",2024-12-31,"424,232,000,000","88,995,000,000","530,850,000,000","1,153,881,000,000"
"BP PLC",313807,BP,NYSE,000000000,"1 ST JAMES'S SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,"SW1Y 4PD",442074964000,X0,,,2911,"Petroleum Refining",324110,"Petroleum Refineries",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","57,000,000","4,000,000","1,000,000",0,0,,,"4,000,000","9,000,000","66,000,000",USD,,,0,2024-12-31,2024,12,1231,,,20-F,2025-03-06,29.93,2025-01-02,"89,295,159,296",2024-12-31,"189,185,000,000","1,229,000,000","34,712,000,000","282,228,000,000"
"MICROSOFT CORP",789019,MSFT,"NASDAQ Global Select Market",911144442,"ONE MICROSOFT WAY",,REDMOND,King,WA,WASHINGTON,"US West",98052-6399,"(425) 882-8080",WA,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"56,280,000","18,643,000",0,0,"6,334,000",,,"10,000","24,987,000","81,267,000",USD,,,0,2024-06-30,2024,06,0630,"S&P 500","Russell 1000","DEF 14A",2024-10-24,459.28,2024-07-02,"3,413,509,406,720",2024-06-30,"245,122,000,000","88,136,000,000","121,660,000,000","512,163,000,000"
"WPP plc",806968,WPP,NYSE,000000000,"27 FARM STREET","18 UPPER GROUND",LONDON,,X0,"UNITED KINGDOM",Foreign,"W1J 5RJ","440 20 7282 4600",X0,,,7311,"Advertising Agencies",541810,"Advertising Agencies",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","56,254,227","1,278,505",0,0,0,,,"1,278,505","2,557,010","58,811,237",USD,Uncertain,,0,2024-12-31,2024,12,1231,,,20-F,2025-03-28,51.07,2025-01-02,"10,978,392,064",2024-12-31,"18,462,000,000","788,000,000","-6,102,000,000","31,948,000,000"
"PRUDENTIAL FINANCIAL INC",1137774,PRU,NYSE,223703799,"751 BROAD ST",,NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102,"(973) 802-6000",NJ,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"55,000,000","6,000,000",0,0,"3,000,000","1,700,000","1,300,000",0,"9,000,000","64,000,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-27,118.27,2025-01-02,"42,104,119,296",2024-12-31,"70,405,000,000","2,727,000,000",,"735,587,000,000"
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,000000000,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Japan LLC",882,JAPAN,"53,955,447","734,465",0,0,"3,422,883",,,"138,578","4,295,926","58,251,373",USD,Yes,,0,2024-03-31,2024,03,0331,,,20-F,2024-06-25,251.68,2024-03-31,"339,117,965,312",2024-03-31,"297,964,000,000","33,509,000,000","217,157,000,000","595,423,000,000"
"BARCLAYS BANK PLC",312070,DJP,"NYSE Arca",000000000,"1 CHURCHILL PLACE",*,LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",0044-20-3555-4619,X0,312069,"BARCLAYS PLC",6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","53,697,216","12,785,052",0,0,0,,,"6,392,526","19,177,577","72,874,794",USD,,Yes,0,2024-12-31,2024,12,1231,,,20-F,2025-02-13,32.38,2025-01-02,"75,852,046,336",2024-12-31,"25,843,000,000","4,694,000,000","72,383,000,000","1,526,093,000,000"
"Lloyds Banking Group plc",1160106,LYG,NYSE,000000000,"25 GRESHAM STREET",,LONDON,,X0,"UNITED KINGDOM",Foreign,"EC2V 7HN","44 0 20 7626 1500",X0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","51,907,309","1,917,758",0,0,0,,,"1,278,505","3,196,263","55,103,572",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-20,2.7,2025-01-02,"42,909,229,056",2024-12-31,"42,394,000,000","5,607,000,000","47,000,000,000","1,135,557,000,000"
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,SMFG,NYSE,,"1-2, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-0005,81-3-3282-8111,M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"48,232,165","3,076,437",0,0,"332,588",,,"166,294","3,575,319","51,807,484",USD,,,0,2024-03-31,2024,03,0331,,,20-F,2024-06-27,11.77,2024-03-31,"77,325,443,072",2024-03-31,"26,055,000,000","5,919,000,000","99,881,000,000","1,858,480,000,000"
"INTERNATIONAL BUSINESS MACHINES CORP",51143,IBM,NYSE,130871985,"1 NEW ORCHARD ROAD",,ARMONK,Westchester,NY,"NEW YORK","US Mid Atlantic",10504,"(914) 499-1900",NY,,,3570,"Computer & office Equipment",334111,"Electronic Computer Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"48,200,000","23,200,000",0,0,"500,000",,,"700,000","24,400,000","72,600,000",USD,Uncertain,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-10,219.94,2025-01-02,"203,366,449,152",2024-12-31,"62,753,000,000","6,024,000,000","-44,060,000,000","137,176,000,000"
"NatWest Group plc",844150,NWG,NYSE,000000000,GOGARBURN,"PO BOX 1000","EDINBURGH, SCOTLAND",,X0,"UNITED KINGDOM",Foreign,"EH12 1HQ",441315568555,X0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LLP",57,"UNITED KINGDOM","48,071,794","5,369,722",0,0,0,,,"5,241,871","10,611,593","58,683,386",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-21,10.17,2024-12-31,"40,895,680,512",2024-12-31,"18,414,000,000","6,025,000,000","39,779,000,000","886,688,000,000"
"WELLS FARGO & COMPANY/MN",72971,WFC,NYSE,410449260,"333 MARKET STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(800) 869-3557",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"46,800,000","2,800,000",0,0,"1,900,000",,,0,"4,700,000","51,500,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-19,70.19,2025-01-02,"233,696,952,320",2024-12-31,"77,962,000,000","19,722,000,000","153,953,000,000","1,929,845,000,000"
"BROOKFIELD Corp /ON/",1001085,BN,NYSE,980521601,"BROOKFIELD PLACE, 181 BAY ST, STE 100","PO BOX 762",TORONTO,,A6,ONTARIO,Canada,"M5J 2T3","(416) 363-9491",A6,,,6512,"Operators of Nonresidential Buildings",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"Deloitte & Touche LLP",3,"Deloitte LLP",468,ONTARIO,"46,300,000","75,300,000",0,0,"5,300,000",,,"900,000","81,500,000","127,800,000",USD,Yes,,0,2024-12-31,2024,12,1231,,,40-F,2025-03-24,57.55,2025-01-02,"94,422,458,368",2024-12-31,"69,391,000,000","1,853,000,000","-25,825,000,000","490,424,000,000"
"Stellantis N.V.",1605484,STLA,NYSE,,"TAURUSAVENUE 1",,HOOFDDORP,,P7,NETHERLANDS,Foreign,2132LS,"31 237001511",P7,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"Deloitte & Touche LLP",3,"Deloitte & Associés",11,FRANCE,"45,575,895","757,794",0,0,"649,538",,,0,"1,407,332","46,983,226",USD,,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-27,13.05,2024-12-31,"37,590,425,600",2024-12-31,"162,448,000,000","5,987,000,000","28,298,000,000","214,979,000,000"
"AMAZON COM INC",1018724,AMZN,"NASDAQ Global Select Market",911646860,"410 TERRY AVENUE NORTH",,SEATTLE,King,WA,WASHINGTON,"US West",98109,"(206) 266-1000",DE,,,5961,"Catalog and Mail-Order Houses",518210,"Data Processing, Hosting, and Related Services",34,"Ernst & Young LLP",2,,,,"41,937,000","8,454,000",0,0,0,,,"828,000","9,282,000","51,219,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-10,219.39,2024-12-31,"2,323,998,310,400",2024-12-31,"637,959,000,000","59,248,000,000","262,896,000,000","624,894,000,000"
"MIZUHO FINANCIAL GROUP INC",1335730,MFG,NYSE,000000000,"1-5-5, OTEMACHI",,"CHIYODA-KU, TOKYO",,M0,JAPAN,Foreign,100-8176,81-3-5224-1111,M0,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"Ernst & Young LLP",2,"Ernst & Young ShinNihon LLC",48,JAPAN,"41,310,180","2,314,257",0,0,"1,267,991",,,"401,877","3,984,125","45,294,305",USD,,,0,2024-03-31,2024,03,1231,,,20-F,2024-06-26,3.98,2024-03-31,"50,436,751,360",2024-03-31,"25,648,000,000","6,029,000,000","64,221,000,000","1,798,362,000,000"
"FORD MOTOR CO",37996,F,NYSE,380549190,"ONE AMERICAN ROAD",,DEARBORN,Wayne,MI,MICHIGAN,"US Midwest",48126,"(313) 322-3000",DE,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"41,300,000","5,700,000",0,0,"2,400,000","1,296,000","1,104,000",0,"8,100,000","49,400,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-28,9.9,2024-12-31,"38,536,667,136",2024-12-31,"184,992,000,000","5,879,000,000",,"285,196,000,000"
"FAIRFAX FINANCIAL HOLDINGS LTD/ CAN",915191,FRFHF,"Pink Limited",000000000,"FAIRFAX FINANCIAL HOLDINGS LTD","95 WELLINGTON ST WEST STE 800",TORONTO,,A6,ONTARIO,Canada,"M5J 2N7","(416) 367-4941",Z4,,,6331,"Fire, Marine, and Casualty Insurance",524126,"Direct Property and Casualty Insurance Carriers",33,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"39,864,537","1,752,287",0,0,"5,548,910",,,"1,168,192","8,469,389","48,333,926",USD,Yes,,0,2024-12-31,2024,12,1231,,,40-F,2025-03-07,1373.02,2025-01-02,"30,555,842,560",2024-12-31,"6,525,400,000","4,262,900,000","15,789,800,000","96,777,300,000"
"PFIZER INC",78003,PFE,NYSE,135315170,"66 HUDSON BOULEVARD EAST",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001-2192,"(212) 733-2323",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"KPMG LLP",4,,,,"39,811,000","894,000",0,0,"2,553,000",,,0,"3,447,000","43,258,000",USD,Uncertain,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-13,26.61,2025-01-02,"150,798,598,144",2024-12-31,"63,627,000,000","8,031,000,000","-35,736,000,000","213,395,000,000"
"JOHNSON & JOHNSON",200406,JNJ,NYSE,221024240,"ONE JOHNSON & JOHNSON PLZ",,"NEW BRUNSWICK",Middlesex,NJ,"NEW JERSEY","US Mid Atlantic",08933,"(732) 524-2455",NJ,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"39,510,000","7,335,000",0,0,"2,580,000",,,"1,600,000","11,515,000","51,025,000",USD,,,0,2024-12-29,2024,12,1230,"S&P 500","Russell 1000","DEF 14A",2025-03-12,144.62,2024-12-31,"348,190,441,472",2024-12-29,"88,821,000,000","14,066,000,000","-10,328,000,000","180,104,000,000"
"Sony Group Corp",313838,SONY,NYSE,000000000,"1-7-1, KONAN",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,141-0001,81-3-6748-2111,M0,,,3651,"Household Audio and Video Equipment",334310,"Audio and Video Equipment Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Japan LLC",882,JAPAN,"39,446,303","1,759,944",0,0,"131,649",,,"325,659","2,217,252","41,663,555",USD,,,0,2024-03-31,2024,03,0331,,,20-F,2024-06-25,85.33,2024-04-02,"105,339,674,624",2024-03-31,"86,034,000,000","6,479,000,000","36,239,000,000","225,363,000,000"
"ROYAL BANK OF CANADA",1000275,RY,NYSE,000000000,"ROYAL BANK PLAZA","200 BAY STREET",TORONTO,,A6,ONTARIO,Canada,"M5J 2J5","(212) 437-9267",A6,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"39,261,846","7,278,882",0,0,"294,096",,,"1,176,385","8,749,363","48,011,209",USD,,,0,2024-10-31,2024,10,1031,,,40-F,2024-12-04,123.47,2024-10-29,"173,150,945,280",2024-10-31,"38,830,000,000","11,650,000,000","71,742,000,000","1,557,862,000,000"
"HONDA MOTOR CO LTD",715153,HMC,NYSE,000000000,"1-1, MINAMI-AOYAMA 2-CHOME",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,105-8404,81334231111,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"38,968,208","1,184,844",0,0,0,,,0,"1,184,844","40,153,052",USD,Uncertain,,0,2024-03-31,2024,03,0331,,,20-F,2024-06-20,36.34,2024-04-02,"60,482,138,112",2024-03-31,"134,982,000,000","7,814,000,000","77,289,000,000","196,730,000,000"
"AMERICAN INTERNATIONAL GROUP, INC.",5272,AIG,NYSE,132592361,"1271 AVE OF THE AMERICAS","FL 37","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10020-1304,"(212) 770-7000",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"38,800,000","22,800,000",0,0,"300,000",,,"300,000","23,400,000","62,200,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-02,72.98,2025-01-02,"45,522,690,048",2024-12-31,"27,251,000,000","-1,404,000,000","39,148,000,000","161,322,000,000"
