Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"MORGAN STANLEY",895421,MS,NYSE,363145972,"1585 BROADWAY",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10036,"(212) 761-4000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523120,"Securities Brokerage",34,"Deloitte & Touche LLP",3,,,,"60,600,000","7,300,000",0,0,"3,000,000",,,0,"10,300,000","70,900,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-04-08,98.73,2021-12-29,"177,162,289,152",2021-12-31,"59,751,000,000","15,034,000,000","80,248,000,000","1,188,140,000,000"
"METLIFE INC",1099219,MET,NYSE,134075851,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-5500",DE,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"59,400,000","7,000,000",0,0,"3,200,000","2,200,000","1,000,000","4,500,000","14,700,000","74,100,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-04-29,62.49,2021-12-31,"51,588,009,984",2021-12-31,"71,080,000,000","6,554,000,000","57,947,000,000","759,708,000,000"
"Shell plc",1306965,SHEL,NYSE,000000000,"SHELL CENTRE","2 YORK ROAD",LONDON,,X0,"UNITED KINGDOM",Foreign,"SE1 7NA",044-20-7934-1234,DC,,,1311,"Crude Petroleum and Natural Gas",213112,"Support Activities for Oil and Gas Operations",34,"Ernst & Young LLP",2,"Ernst & Young LLP",57,"UNITED KINGDOM","57,000,000","2,000,000","1,000,000",0,0,,,"3,000,000","6,000,000","63,000,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-10,,,,2021-12-31,"261,504,000,000","20,101,000,000","147,273,000,000","404,379,000,000"
"Blackstone Inc.",1393818,BX,NYSE,208875684,"345 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10154,"(212) 583-5000",DE,,,6282,"Investment Advice",523920,"Portfolio Management",34,"Deloitte & Touche LLP",3,,,,"56,881,000","31,184,000",0,0,"92,292,000",,,"33,000","123,509,000","180,390,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000",10-K,2022-02-25,129.39,2021-12-31,"91,134,525,440",2021-12-31,"22,378,880,000","5,857,397,000","7,316,335,000","41,196,408,000"
"BANK OF AMERICA CORP /DE/",70858,BAC,NYSE,560906609,"BANK OF AMERICA CORPORATE CENTER","100 N TRYON ST",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28255,"(704) 386-8486",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,,,,"55,200,000","7,400,000",0,0,"5,700,000",,,0,"13,100,000","68,300,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-07,44.49,2021-12-31,"359,382,712,320",2021-12-31,"93,707,000,000","31,978,000,000","201,044,000,000","3,169,495,000,000"
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,SMFG,NYSE,,"1-2, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-0005,81-3-3282-8111,M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"54,115,841","2,651,072",0,0,"377,377",,,"254,729","3,283,179","57,399,020",USD,,,0,2021-03-31,2021,03,0331,,,20-F,2021-06-29,7.48,2021-03-29,"51,356,614,656",2021-03-31,"28,648,000,000","6,381,000,000","103,060,000,000","2,126,923,000,000"
"PRUDENTIAL FINANCIAL INC",1137774,PRU,NYSE,223703799,"751 BROAD ST",,NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102,"(973) 802-6000",NJ,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"54,000,000","10,000,000",0,0,"2,000,000","1,300,000","700,000",0,"12,000,000","66,000,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-24,109.08,2021-12-29,"41,232,240,640",2021-12-31,"71,247,000,000","8,868,000,000",,"937,582,000,000"
"INTERNATIONAL BUSINESS MACHINES CORP",51143,IBM,NYSE,130871985,"1 NEW ORCHARD ROAD",,ARMONK,Westchester,NY,"NEW YORK","US Mid Atlantic",10504,"(914) 499-1900",NY,,,3570,"Computer & office Equipment",334111,"Electronic Computer Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"53,700,000","48,800,000",0,0,"1,200,000",,,"700,000","50,700,000","104,400,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-07,133.66,2021-12-31,"120,035,852,288",2021-12-31,"57,351,000,000","5,743,000,000","-49,253,000,000","132,002,000,000"
"BP PLC",313807,BP,NYSE,000000000,"1 ST JAMES'S SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,"SW1Y 4PD",442074964000,X0,,,2911,"Petroleum Refining",324110,"Petroleum Refineries",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","52,000,000","5,000,000","1,000,000",0,0,,,0,"6,000,000","58,000,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-18,26.99,2021-12-29,"96,335,331,328",2021-12-31,"157,739,000,000","8,487,000,000","56,639,000,000","287,272,000,000"
"GENERAL ELECTRIC CO",40545,GE,NYSE,140689340,"1 NEUMANN WAY",,EVENDALE,Hamilton,OH,OHIO,"US Midwest",45215,"(617) 443-3000",NY,,,3600,"Electronic & Other Electrical Equipment (No Computer Equip)",333611,"Turbine and Turbine Generator Set Units Manufacturing",34,"Deloitte & Touche LLP",3,,,,"51,600,000","2,100,000",0,0,"500,000",,,"300,000","2,900,000","54,500,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,94.47,2021-12-31,"64,611,811,328",2021-12-31,"56,469,000,000","-6,337,000,000","4,799,000,000","198,874,000,000"
"KKR & Co. Inc.",1404912,KKR,NYSE,881203639,"30 HUDSON YARDS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001,"(212) 750-8300",,,,6282,"Investment Advice",523930,"Investment Advice",34,"Deloitte & Touche LLP",3,,,,"47,836,000","12,908,000",0,0,"43,958,000","35,640,000","8,318,000","537,000","57,403,000","105,239,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000",10-K,2022-02-28,74.5,2021-12-31,"44,376,940,544",2021-12-31,"15,104,119,000","4,666,476,000","24,154,403,000","264,285,440,000"
"AMERICAN INTERNATIONAL GROUP, INC.",5272,AIG,NYSE,132592361,"1271 AVE OF THE AMERICAS","FL 37","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10020-1304,"(212) 770-7000",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"PricewaterhouseCoopers LLP",1,,,,"47,600,000","40,800,000",0,0,"1,600,000",,,"400,000","42,800,000","90,400,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-29,56.86,2021-12-31,"46,550,564,864",2021-12-31,"52,057,000,000","9,388,000,000",,"596,112,000,000"
"BERKSHIRE HATHAWAY INC",1067983,BRK.A,NYSE,470813844,"3555 FARNAM STREET",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68131,"(402) 346-1400",DE,,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"Deloitte & Touche LLP",3,,,,"47,300,000","1,430,000",0,0,"300,000",,,"100,000","1,830,000","49,130,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-11,450662,2021-12-31,"278,109,388,800",2021-12-31,"354,727,000,000","89,937,000,000","403,838,000,000","958,784,000,000"
"BROOKFIELD Corp /ON/",1001085,BN,NYSE,980521601,"BROOKFIELD PLACE, 181 BAY ST, STE 100","PO BOX 762",TORONTO,,A6,ONTARIO,Canada,"M5J 2T3","(416) 363-9491",A6,,,6512,"Operators of Nonresidential Buildings",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"Deloitte & Touche LLP",3,"Deloitte LLP",468,ONTARIO,"46,800,000","55,800,000",0,0,"2,500,000",,,"200,000","58,500,000","105,300,000",USD,Yes,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-31,60.92,2021-12-29,"61,818,519,552",2021-12-31,"68,127,000,000","12,388,000,000","-4,481,000,000","391,003,000,000"
"MIZUHO FINANCIAL GROUP INC",1335730,MFG,NYSE,000000000,"1-5-5, OTEMACHI",,"CHIYODA-KU, TOKYO",,M0,JAPAN,Foreign,100-8176,81-3-5224-1111,M0,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"Ernst & Young LLP",2,"Ernst & Young ShinNihon LLC",48,JAPAN,"46,455,091","2,613,335",0,0,"877,401",,,"56,607","3,547,342","50,002,433",USD,,,0,2021-03-31,2021,03,1231,,,20-F,2021-07-02,3.06,2021-03-29,"38,850,523,136",2021-03-31,"26,119,000,000","5,265,000,000","81,054,000,000","2,005,896,000,000"
"WELLS FARGO & COMPANY/MN",72971,WFC,NYSE,410449260,"333 MARKET STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(800) 869-3557",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"46,200,000","4,200,000",0,0,"6,400,000",,,"300,000","10,900,000","57,100,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-14,47.98,2021-12-31,"186,440,761,344",2021-12-31,"82,647,000,000","21,548,000,000","162,426,000,000","1,948,068,000,000"
"BARCLAYS BANK PLC",312070,DJP,"NYSE Arca",000000000,"1 CHURCHILL PLACE",*,LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",0044-20-3555-4619,X0,312069,"BARCLAYS PLC",6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","45,399,786","9,630,258",0,0,0,,,"1,375,751","11,006,009","56,405,794",USD,,Yes,0,2021-12-31,2021,12,1231,,,20-F,2022-02-23,,,,2021-12-31,"23,929,000,000","6,214,000,000","74,316,000,000","1,438,139,000,000"
"AT&T Inc.",732717,T,NYSE,431301883,"208 S. AKARD ST",,DALLAS,Dallas,TX,TEXAS,"US Southwest",75202,"(210) 821-4105",DE,,,4813,"Telephone Communications, Except Radiotelephone",517110,"Wired Telecommunications Carriers",34,"Ernst & Young LLP",2,,,,"44,700,000","17,400,000",0,0,"14,200,000",,,0,"31,600,000","76,300,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-22,24.64,2021-12-29,"175,954,247,680",2021-12-31,"134,038,000,000","20,081,000,000","-114,442,000,000","551,622,000,000"
"WPP plc",806968,WPP,NYSE,000000000,"27 FARM STREET","18 UPPER GROUND",LONDON,,X0,"UNITED KINGDOM",Foreign,"W1J 5RJ","440 20 7282 4600",X0,,,7311,"Advertising Agencies",541810,"Advertising Agencies",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","43,886,460","550,300",0,0,0,,,"1,926,052","2,476,352","46,362,812",USD,Uncertain,,0,2021-12-31,2021,12,1231,,,20-F,2022-04-06,76.2,2021-12-29,"18,674,061,312",2021-12-31,"17,338,600,000","976,200,000","-7,253,700,000","37,750,000,000"
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,000000000,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Aarata LLC",241,JAPAN,"43,417,207","660,409",0,0,"3,519,039",,,"1,745,368","5,924,817","49,342,024",USD,Yes,,0,2021-03-31,2021,03,0331,,,20-F,2021-06-24,154.9,2021-03-29,"214,238,511,104",2021-03-31,"246,286,000,000","20,655,000,000","201,773,000,000","563,504,000,000"
"MICROSOFT CORP",789019,MSFT,"NASDAQ Global Select Market",911144442,"ONE MICROSOFT WAY",,REDMOND,King,WA,WASHINGTON,"US West",98052-6399,"(425) 882-8080",WA,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"42,300,000","10,491,000",0,0,"4,312,000",,,"37,000","14,840,000","57,140,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 500","Russell 1000","DEF 14A",2021-10-14,270.9,2021-06-30,"2,036,897,153,024",2021-06-30,"168,088,000,000","61,271,000,000","84,477,000,000","333,779,000,000"
"Lloyds Banking Group plc",1160106,LYG,NYSE,000000000,"25 GRESHAM STREET",,LONDON,,X0,"UNITED KINGDOM",Foreign,"EC2V 7HN","44 0 20 7626 1500",X0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","41,685,258","687,876",0,0,0,,,"1,650,901","2,338,777","44,024,035",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-02-28,2.53,2021-12-29,"44,805,795,840",2021-12-31,"54,623,000,000","7,971,000,000","59,960,000,000","1,193,630,000,000"
"JOHNSON & JOHNSON",200406,JNJ,NYSE,221024240,"ONE JOHNSON & JOHNSON PLZ",,"NEW BRUNSWICK",Middlesex,NJ,"NEW JERSEY","US Mid Atlantic",08933,"(732) 524-2455",NJ,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"40,940,000","12,750,000",0,0,"1,550,000",,,"660,000","14,960,000","55,900,000",USD,,,0,2022-01-02,2021,12,1230,"S&P 500","Russell 1000","DEF 14A",2022-03-16,171.55,2021-12-29,"451,622,010,880",2021-12-31,"93,775,000,000","20,878,000,000",,"179,228,000,000"
"METROPOLITAN LIFE INSURANCE CO",937834,,,135581829,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-9000",NY,1099219,"METLIFE INC",6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"40,300,000","3,900,000",0,0,0,,,"700,000","4,600,000","44,900,000",USD,,Uncertain,0,2021-12-31,2021,12,1231,,,10-K,2022-03-07,,,,2021-12-31,"42,043,000,000","3,718,000,000","33,428,000,000","446,557,000,000"
"Sony Group Corp",313838,SONY,NYSE,000000000,"1-7-1, KONAN",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,141-0001,81-3-6748-2111,M0,,,3651,"Household Audio and Video Equipment",334310,"Audio and Video Equipment Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Aarata LLC",241,JAPAN,"39,690,611","1,207,606",0,0,0,,,"632,106","1,839,712","41,530,323",USD,,,0,2021-03-31,2021,03,0331,,,20-F,2022-06-28,106.86,2021-04-01,"130,386,288,640",2021-03-31,"81,436,000,000","9,447,000,000","50,346,000,000","248,940,000,000"
"HONDA MOTOR CO LTD",715153,HMC,NYSE,000000000,"1-1, MINAMI-AOYAMA 2-CHOME",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,105-8404,81334231111,M0,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"KPMG LLP",4,"KPMG AZSA LLC",333,JAPAN,"39,171,718","1,198,172",0,0,0,,,"103,779","1,301,950","40,473,668",USD,Uncertain,,0,2021-03-31,2021,03,0331,,,20-F,2021-06-23,30.24,2021-03-29,"52,212,678,656",2021-03-31,"119,190,000,000","6,294,000,000","74,782,000,000","198,380,000,000"
"Stellantis N.V.",1605484,STLA,NYSE,,"TAURUSAVENUE 1",,HOOFDDORP,,P7,NETHERLANDS,Foreign,2132LS,"31 237001511",P7,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"Ernst & Young LLP",2,"EY SpA",742,ITALY,"39,045,152","709,912",0,0,"354,956",,,0,"1,064,868","40,110,019",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-02-25,18.89,2021-12-29,"30,534,217,728",2021-12-31,"169,920,000,000","16,157,000,000","10,634,000,000","195,333,000,000"
"GSK plc",1131399,GSK,NYSE,000000000,"79 NEW OXFORD STREET",,BRENTFORD,,X0,"UNITED KINGDOM",Foreign,,"44 20 8047 5000",X0,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"Deloitte & Touche LLP",3,"Deloitte LLP",293,"UNITED KINGDOM","38,108,305","5,503,004","275,150",0,0,,,0,"5,778,155","43,886,460",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-08,44.44,2021-12-29,"119,658,913,792",2021-12-31,"46,206,000,000","5,939,000,000","-27,710,000,000","107,142,000,000"
"FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE",310522,FNMA,OTCQB,520883107,"MIDTOWN CENTER","1100 15TH ST, NW",WASHINGTON,"District of Columbia",DC,"DISTRICT OF COLUMBIA","US Mid Atlantic",20005,"(800) 232-6643",,,,6111,"Federal and Federally-Sponsored Credit Agencies",522291,"Consumer Lending",34,"Deloitte & Touche LLP",3,,,,"38,100,000","315,000",0,0,0,,,"587,000","902,000","39,002,000",USD,,,0,2021-12-31,2021,12,1231,,,10-K,2022-02-15,0.866,2021-12-29,"1,002,903,808",2021-12-31,"36,585,000,000","22,176,000,000",,"4,229,166,000,000"
"FORD MOTOR CO",37996,F,NYSE,380549190,"ONE AMERICAN ROAD",,DEARBORN,Wayne,MI,MICHIGAN,"US Midwest",48126,"(313) 322-3000",DE,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"37,100,000","4,400,000",0,0,"3,500,000","1,400,000","2,100,000","300,000","8,200,000","45,300,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-04-01,20.77,2021-12-31,"84,118,503,424",2021-12-31,"136,341,000,000","17,937,000,000",,"257,035,000,000"
"VERIZON COMMUNICATIONS INC",732712,VZ,NYSE,232259884,"1095 AVENUE OF THE AMERICAS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10036,"(212) 395-1000",DE,,,4813,"Telephone Communications, Except Radiotelephone",517110,"Wired Telecommunications Carriers",34,"Ernst & Young LLP",2,,,,"37,100,000","13,500,000",0,0,"4,800,000",,,0,"18,300,000","55,400,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-28,51.96,2021-12-31,"218,117,636,096",2021-12-31,"133,613,000,000","22,065,000,000","-106,109,000,000","366,596,000,000"
