CRITICAL_AUDIT_MATTER_KEY,TOPIC_NAME,COMPANY_FKEY,FISCAL_YE
32725,Deferred income taxes,0000005272,1231
41295,Insurance contract liabilities,0000005272,1231
5864,Other investments,0000005272,1231
5865,Insurance contract liabilities,0000005272,1231
5866,Pension and other post-employment benefits,0000005272,1231
5867,Business combinations,0000005272,1231
5868,Deferred income taxes,0000005272,1231
1060,Insurance contract liabilities,0000005513,1231
16415,Insurance contract liabilities,0000005513,1231
25107,Insurance contract liabilities,0000005513,1231
33167,Insurance contract liabilities,0000005513,1231
43568,Insurance contract liabilities,0000005513,1231
5476,Insurance contract liabilities,0000005513,1231
5477,Insurance contract liabilities,0000005513,1231
10407,Sales return and allowances,0000005981,1231
18396,Sales return and allowances,0000005981,1231
27580,Sales return and allowances,0000005981,1231
36854,Sales return and allowances,0000005981,1231
36855,Goodwill,0000005981,1231
47567,Sales return and allowances,0000005981,1231
47568,Goodwill,0000005981,1231
10017,Insurance contract liabilities,0000006176,1231
18736,Insurance contract liabilities,0000006176,1231
27765,Insurance contract liabilities,0000006176,1231
36551,Insurance contract liabilities,0000006176,1231
45125,Insurance contract liabilities,0000006176,1231
1030,Revenue from customer contracts,0000006201,1231
1031,Revenue from customer contracts,0000006201,1231
15383,Revenue from customer contracts,0000006201,1231
15384,Deferred income taxes,0000006201,1231
24770,Deferred income taxes,0000006201,1231
33292,Deferred income taxes,0000006201,1231
41832,Deferred income taxes,0000006201,1231
5578,Revenue from customer contracts,0000006201,1231
5579,Deferred income taxes,0000006201,1231
12465,Other expenses,0000006207,0430
21837,Other expenses,0000006207,0430
30749,Other expenses,0000006207,0430
30750,Other expenses,0000006207,0430
38913,Other expenses,0000006207,0430
13787,Sales return and allowances,0000006281,1030
13788,Business combinations,0000006281,1030
22994,Sales return and allowances,0000006281,1030
31760,Sales return and allowances,0000006281,1030
334,Sales return and allowances,0000006281,1030
335,Goodwill,0000006281,1030
40110,Revenue from customer contracts,0000006281,1030
4723,Sales return and allowances,0000006281,1030
4724,Goodwill,0000006281,1030
10429,Going concern,0000006494,1231
19807,Going concern,0000006494,1231
28382,Going concern,0000006494,1231
15456,Proven and unproven reserves,0000006769,1231
15457,Asset retirement and environmental obligations,0000006769,1231
15458,Other contingent liabilities,0000006769,1231
2402,Proven and unproven reserves,0000006769,1231
2403,Asset retirement and environmental obligations,0000006769,1231
24923,Proven and unproven reserves,0000006769,1231
24924,Asset retirement and environmental obligations,0000006769,1231
24925,Other contingent liabilities,0000006769,1231
33610,Proven and unproven reserves,0000006769,1231
33611,Asset retirement and environmental obligations,0000006769,1231
33612,Other contingent liabilities,0000006769,1231
7480,Proven and unproven reserves,0000006769,1231
7481,Asset retirement and environmental obligations,0000006769,1231
11199,Goodwill,0000006845,0301
11200,Revenue from customer contracts,0000006845,0301
20505,Revenue from customer contracts,0000006845,0301
20506,Goodwill,0000006845,0301
29336,Revenue from customer contracts,0000006845,0301
29337,Goodwill and intangible assets,0000006845,0301
37957,Revenue from customer contracts,0000006845,0301
3892,Revenue from customer contracts,0000006845,0301
3893,Goodwill,0000006845,0301
46947,Revenue from customer contracts,0000006845,0301
15939,Regulatory assets and liabilities,0000006879,1231
24937,Regulatory assets and liabilities,0000006879,1231
30141,Regulatory assets and liabilities,0000006879,1231
34175,Regulatory assets and liabilities,0000006879,1231
41320,Regulatory assets and liabilities,0000006879,1231
41321,Asset retirement and environmental obligations,0000006879,1231
6905,Regulatory assets and liabilities,0000006879,1231
13910,Inventory,0000006951,1025
23222,Inventory,0000006951,1025
31956,Inventory,0000006951,1025
397,Inventory,0000006951,1025
398,Deferred income taxes,0000006951,1025
40254,Revenue from customer contracts,0000006951,1025
4832,Inventory,0000006951,1025
13390,Goodwill,0000006955,0831
177,Goodwill,0000006955,0831
22682,Goodwill,0000006955,0831
31454,Goodwill,0000006955,0831
39752,Goodwill,0000006955,0831
40333,Goodwill,0000006955,0831
4594,Goodwill,0000006955,0831
48640,Business combinations,0000006955,0831
18173,Long-lived assets,0000007039,1231
8715,Long-lived assets,0000007039,1231
1000,Business combinations,0000007084,1231
14978,Inventory,0000007084,1231
24006,Inventory,0000007084,1231
35834,Inventory,0000007084,1231
35835,Goodwill,0000007084,1231
40007,Inventory,0000007084,1231
40008,Goodwill,0000007084,1231
42150,Inventory,0000007084,1231
42151,Goodwill,0000007084,1231
5673,Inventory,0000007084,1231
999,Inventory,0000007084,1231
16640,Regulatory assets and liabilities,0000007286,1231
25555,Regulatory assets and liabilities,0000007286,1231
34258,Regulatory assets and liabilities,0000007286,1231
42757,Regulatory assets and liabilities,0000007286,1231
6356,Regulatory assets and liabilities,0000007286,1231
16815,Regulatory assets and liabilities,0000007323,1231
25416,Regulatory assets and liabilities,0000007323,1231
33876,Regulatory assets and liabilities,0000007323,1231
41677,Regulatory assets and liabilities,0000007323,1231
41681,Regulatory assets and liabilities,0000007323,1231
7431,Regulatory assets and liabilities,0000007323,1231
7432,Uncertain tax positions,0000007323,1231
7433,Asset retirement and environmental obligations,0000007323,1231
17599,Proven and unproven reserves,0000007332,1231
17600,Business combinations,0000007332,1231
25085,Proven and unproven reserves,0000007332,1231
2820,Proven and unproven reserves,0000007332,1231
33486,Proven and unproven reserves,0000007332,1231
8118,Proven and unproven reserves,0000007332,1231
8119,Business combinations,0000007332,1231
15388,Pension and other post-employment benefits,0000007431,1231
1732,Pension and other post-employment benefits,0000007431,1231
24440,Pension and other post-employment benefits,0000007431,1231
33192,Pension and other post-employment benefits,0000007431,1231
42770,Pension and other post-employment benefits,0000007431,1231
4355,Pension and other post-employment benefits,0000007431,1231
6117,Pension and other post-employment benefits,0000007431,1231
6118,Other contingent liabilities,0000007431,1231
14665,Inventory,0000007536,1231
14666,Goodwill,0000007536,1231
23722,Inventory,0000007536,1231
23723,Goodwill,0000007536,1231
32660,Inventory,0000007536,1231
32661,Goodwill,0000007536,1231
40883,Inventory,0000007536,1231
40884,Goodwill,0000007536,1231
5159,Inventory,0000007536,1231
5160,Goodwill,0000007536,1231
742,Inventory,0000007536,1231
743,Goodwill,0000007536,1231
15060,Inventory,0000007623,1130
24215,Inventory,0000007623,1130
34695,Inventory,0000007623,1130
41657,Inventory,0000007623,1130
14490,Allowance for credit losses,0000007789,1231
32491,Allowance for credit losses,0000007789,1231
39275,Allowance for credit losses,0000007789,1231
40909,Allowance for credit losses,0000007789,1231
5079,Asset retirement and environmental obligations,0000007789,1231
5080,Goodwill,0000007789,1231
677,Allowance for credit losses,0000007789,1231
17784,Goodwill,0000008063,1231
17785,Revenue from customer contracts,0000008063,1231
27149,Goodwill,0000008063,1231
27150,Revenue from customer contracts,0000008063,1231
3220,Goodwill,0000008063,1231
3221,Revenue from customer contracts,0000008063,1231
35367,Goodwill,0000008063,1231
35368,Revenue from customer contracts,0000008063,1231
44290,Goodwill,0000008063,1231
44291,Revenue from customer contracts,0000008063,1231
7832,Goodwill,0000008063,1231
7833,Revenue from customer contracts,0000008063,1231
10861,Goodwill,0000008146,0131
29133,Business combinations,0000008146,0131
46713,Goodwill,0000008146,0131
46714,Business combinations,0000008146,0131
19165,Insurance contract liabilities,0000008177,1231
19166,Insurance contract liabilities,0000008177,1231
30566,Allowance for credit losses,0000008177,1231
30567,Insurance contract liabilities,0000008177,1231
30568,Deferred and capitalized costs,0000008177,1231
37106,Insurance contract liabilities,0000008177,1231
37107,Insurance contract liabilities,0000008177,1231
45505,Insurance contract liabilities,0000008177,1231
45506,Insurance contract liabilities,0000008177,1231
9732,Insurance contract liabilities,0000008177,1231
9733,Insurance contract liabilities,0000008177,1231
16417,Regulatory assets and liabilities,0000008192,1231
21689,Regulatory assets and liabilities,0000008192,1231
24002,Regulatory assets and liabilities,0000008192,1231
33310,Regulatory assets and liabilities,0000008192,1231
41042,Regulatory assets and liabilities,0000008192,1231
6366,Regulatory assets and liabilities,0000008192,1231
10361,Shareholder valuation,0000008504,1231
20085,Business combinations,0000008504,1231
20086,Goodwill and intangible assets,0000008504,1231
28848,Goodwill and intangible assets,0000008504,1231
32314,Goodwill and intangible assets,0000008504,1231
32674,Goodwill and intangible assets,0000008504,1231
37157,Goodwill and intangible assets,0000008504,1231
37710,Goodwill and intangible assets,0000008504,1231
37711,Goodwill and intangible assets,0000008504,1231
40116,Goodwill and intangible assets,0000008504,1231
46160,Goodwill and intangible assets,0000008504,1231
46161,Other debt,0000008504,1231
46162,Shareholder valuation,0000008504,1231
12534,Goodwill,0000008670,0630
12535,Other liabilities and provisions,0000008670,0630
17,Goodwill,0000008670,0630
18,Other liabilities and provisions,0000008670,0630
21959,Goodwill,0000008670,0630
21960,Other liabilities and provisions,0000008670,0630
30848,Goodwill,0000008670,0630
30849,Other liabilities and provisions,0000008670,0630
39056,Goodwill,0000008670,0630
39057,Other liabilities and provisions,0000008670,0630
4380,Goodwill,0000008670,0630
4381,Other liabilities and provisions,0000008670,0630
48116,Goodwill,0000008670,0630
48117,Other liabilities and provisions,0000008670,0630
15881,Deferred income taxes,0000008818,1231
15882,Business combinations,0000008818,1231
2075,Goodwill,0000008818,1231
2076,Other income taxes,0000008818,1231
24715,Deferred income taxes,0000008818,1231
33423,Revenue from customer contracts,0000008818,1231
43080,Revenue from customer contracts,0000008818,1231
6609,Deferred income taxes,0000008818,1231
12621,Other income taxes,0000008858,0630
22055,Other income taxes,0000008858,0630
30994,Other income taxes,0000008858,0630
39136,Other income taxes,0000008858,0630
4419,Other income taxes,0000008858,0630
4420,Goodwill,0000008858,0630
48216,Other income taxes,0000008858,0630
18150,Deferred income taxes,0000008868,1231
27300,Deferred income taxes,0000008868,1231
27301,Other contingent liabilities,0000008868,1231
8564,Deferred income taxes,0000008868,1231
11221,Revenue from customer contracts,0000008947,0228
20492,Revenue from customer contracts,0000008947,0228
29434,Other intangible assets,0000008947,0228
3952,Revenue from customer contracts,0000008947,0228
3953,Disposals and divestitures,0000008947,0228
3954,Other income taxes,0000008947,0228
15877,Warranty liabilities,0000009092,1231
15878,Business combinations,0000009092,1231
1610,Warranty liabilities,0000009092,1231
24713,Warranty liabilities,0000009092,1231
33045,Warranty liabilities,0000009092,1231
41472,Warranty liabilities,0000009092,1231
6446,Warranty liabilities,0000009092,1231
6447,Business combinations,0000009092,1231
1573,Business combinations,0000009326,1231
1574,Goodwill,0000009326,1231
15896,Goodwill,0000009326,1231
25352,Business combinations,0000009326,1231
25353,Goodwill,0000009326,1231
33065,Goodwill,0000009326,1231
42358,Goodwill,0000009326,1231
5898,Goodwill,0000009326,1231
8908,Other contingent liabilities,0000009346,1231
8909,Allowance for credit losses,0000009346,1231
1214,Goodwill,0000009389,1231
1215,Revenue from customer contracts,0000009389,1231
14916,Revenue from customer contracts,0000009389,1231
24581,Revenue from customer contracts,0000009389,1231
33095,Revenue from customer contracts,0000009389,1231
42105,Revenue from customer contracts,0000009389,1231
5469,Revenue from customer contracts,0000009389,1231
16484,Regulatory assets and liabilities,0000009466,1231
23981,Regulatory assets and liabilities,0000009466,1231
33267,Regulatory assets and liabilities,0000009466,1231
40923,Regulatory assets and liabilities,0000009466,1231
6371,Regulatory assets and liabilities,0000009466,1231
13747,Allowance for credit losses,0000009631,1031
13748,Other investments,0000009631,1031
13749,Uncertain tax positions,0000009631,1031
13750,Allowance for credit losses,0000009631,1031
13751,Other investments,0000009631,1031
13752,Uncertain tax positions,0000009631,1031
13758,Allowance for credit losses,0000009631,1031
13759,Other investments,0000009631,1031
13760,Uncertain tax positions,0000009631,1031
23097,Allowance for credit losses,0000009631,1031
23098,Other investments,0000009631,1031
23099,Uncertain tax positions,0000009631,1031
23102,Allowance for credit losses,0000009631,1031
23103,Other investments,0000009631,1031
23104,Uncertain tax positions,0000009631,1031
317,Allowance for credit losses,0000009631,1031
318,Other investments,0000009631,1031
31801,Allowance for credit losses,0000009631,1031
31802,Other investments,0000009631,1031
31803,Uncertain tax positions,0000009631,1031
31807,Allowance for credit losses,0000009631,1031
31808,Other investments,0000009631,1031
31809,Uncertain tax positions,0000009631,1031
319,Uncertain tax positions,0000009631,1031
323,Allowance for credit losses,0000009631,1031
324,Other investments,0000009631,1031
325,Uncertain tax positions,0000009631,1031
326,Allowance for credit losses,0000009631,1031
327,Other investments,0000009631,1031
328,Uncertain tax positions,0000009631,1031
39256,Allowance for credit losses,0000009631,1031
39257,Other investments,0000009631,1031
39258,Uncertain tax positions,0000009631,1031
40145,Allowance for credit losses,0000009631,1031
40146,Other investments,0000009631,1031
40147,Uncertain tax positions,0000009631,1031
40154,Allowance for credit losses,0000009631,1031
40155,Other investments,0000009631,1031
40156,Uncertain tax positions,0000009631,1031
4787,Allowance for credit losses,0000009631,1031
4788,Other investments,0000009631,1031
4789,Uncertain tax positions,0000009631,1031
4790,Allowance for credit losses,0000009631,1031
4791,Other investments,0000009631,1031
4792,Uncertain tax positions,0000009631,1031
4800,Allowance for credit losses,0000009631,1031
4801,Other investments,0000009631,1031
4802,Uncertain tax positions,0000009631,1031
29388,Deferred and capitalized costs,0000009712,
29389,Other investments,0000009712,
29390,Insurance contract liabilities,0000009712,
29660,Deferred and capitalized costs,0000009712,
29661,Other investments,0000009712,
29662,Insurance contract liabilities,0000009712,
37901,Other investments,0000009712,
37902,Insurance contract liabilities,0000009712,
38222,Other investments,0000009712,
38223,Insurance contract liabilities,0000009712,
39473,Other investments,0000009712,
39474,Insurance contract liabilities,0000009712,
39475,Other investments,0000009712,
39476,Insurance contract liabilities,0000009712,
39614,Other investments,0000009712,
39615,Insurance contract liabilities,0000009712,
39628,Other investments,0000009712,
39629,Insurance contract liabilities,0000009712,
47032,Other investments,0000009712,
47033,Insurance contract liabilities,0000009712,
15411,Goodwill,0000009984,1231
1767,Goodwill,0000009984,1231
24509,Goodwill,0000009984,1231
34050,Goodwill,0000009984,1231
34051,Business combinations,0000009984,1231
5995,Goodwill,0000009984,1231
13946,Proven and unproven reserves,0000010048,0930
13947,Revenue from customer contracts,0000010048,0930
13948,Proven and unproven reserves,0000010048,0930
23323,Proven and unproven reserves,0000010048,0930
23324,Revenue from customer contracts,0000010048,0930
31968,Proven and unproven reserves,0000010048,0930
31969,Revenue from customer contracts,0000010048,0930
40283,Proven and unproven reserves,0000010048,0930
40284,Revenue from customer contracts,0000010048,0930
18073,Proven and unproven reserves,0000010254,1231
18074,Proven and unproven reserves,0000010254,1231
26940,Proven and unproven reserves,0000010254,1231
26941,Proven and unproven reserves,0000010254,1231
31207,Proven and unproven reserves,0000010254,1231
31208,Proven and unproven reserves,0000010254,1231
8813,Proven and unproven reserves,0000010254,1231
14207,Inventory,0000010329,1129
23477,Inventory,0000010329,1129
32212,Inventory,0000010329,1129
40833,Inventory,0000010329,1129
11494,Deferred income taxes,0000010456,1231
15516,Deferred income taxes,0000010456,1231
15517,Business combinations,0000010456,1231
23738,Goodwill,0000010456,1231
23739,Other intangible assets,0000010456,1231
32443,Goodwill,0000010456,1231
3464,Foreign currency translation,0000010456,1231
3465,Deferred income taxes,0000010456,1231
42208,Goodwill,0000010456,1231
5156,Deferred income taxes,0000010456,1231
13715,Other contingent liabilities,0000010795,0930
13716,Uncertain tax positions,0000010795,0930
13717,Goodwill,0000010795,0930
22978,Other contingent liabilities,0000010795,0930
22979,Uncertain tax positions,0000010795,0930
31743,Other contingent liabilities,0000010795,0930
31744,Uncertain tax positions,0000010795,0930
355,Other contingent liabilities,0000010795,0930
356,Uncertain tax positions,0000010795,0930
357,Goodwill,0000010795,0930
40123,Business combinations,0000010795,0930
40124,Uncertain tax positions,0000010795,0930
4757,Other contingent liabilities,0000010795,0930
4758,Uncertain tax positions,0000010795,0930
4759,Goodwill,0000010795,0930
1319,Allowance for credit losses,0000011544,1231
16190,Allowance for credit losses,0000011544,1231
25603,Allowance for credit losses,0000011544,1231
33961,Allowance for credit losses,0000011544,1231
42510,Insurance contract liabilities,0000011544,1231
5684,Allowance for credit losses,0000011544,1231
14733,Leases,0000012208,1231
14734,Equity investments and joint ventures,0000012208,1231
24359,Leases,0000012208,1231
2995,Leases,0000012208,1231
33010,Financial statements and disclosures,0000012208,1231
41390,Financial statements and disclosures,0000012208,1231
5353,Leases,0000012208,1231
19220,Other investments,0000012239,1231
19221,Other investments,0000012239,1231
28668,Other investments,0000012239,1231
28710,Other investments,0000012239,1231
37163,Long-term investments,0000012239,1231
46691,Long-term investments,0000012239,1231
12059,Uncertain tax positions,0000012659,0630
12060,Other contingent liabilities,0000012659,0630
22073,Uncertain tax positions,0000012659,0630
22074,Other contingent liabilities,0000012659,0630
30975,Uncertain tax positions,0000012659,0630
39168,Uncertain tax positions,0000012659,0630
39169,Goodwill,0000012659,0630
4248,Goodwill,0000012659,0630
4249,Uncertain tax positions,0000012659,0630
4250,Other contingent liabilities,0000012659,0630
48204,Uncertain tax positions,0000012659,0630
48205,Goodwill,0000012659,0630
14203,Revenue from customer contracts,0000012927,1231
14204,Revenue from customer contracts,0000012927,1231
14205,Other contingent liabilities,0000012927,1231
14206,Deferred income taxes,0000012927,1231
23519,Revenue from customer contracts,0000012927,1231
23520,Revenue from customer contracts,0000012927,1231
23521,Revenue from customer contracts,0000012927,1231
32290,Revenue from customer contracts,0000012927,1231
32291,Revenue from customer contracts,0000012927,1231
39103,Revenue from customer contracts,0000012927,1231
39104,Revenue from customer contracts,0000012927,1231
40669,Revenue from customer contracts,0000012927,1231
40670,Revenue from customer contracts,0000012927,1231
40671,Revenue from customer contracts,0000012927,1231
492,Revenue from customer contracts,0000012927,1231
493,Revenue from customer contracts,0000012927,1231
4935,Revenue from customer contracts,0000012927,1231
4936,Revenue from customer contracts,0000012927,1231
4937,Other contingent liabilities,0000012927,1231
4938,Deferred income taxes,0000012927,1231
494,Other contingent liabilities,0000012927,1231
10569,Goodwill and intangible assets,0000013156,1231
8811,Goodwill,0000013239,1231
14996,Regulatory assets and liabilities,0000013372,1231
24063,Regulatory assets and liabilities,0000013372,1231
32791,Regulatory assets and liabilities,0000013372,1231
41399,Regulatory assets and liabilities,0000013372,1231
5556,Regulatory assets and liabilities,0000013372,1231
14168,Revenue from customer contracts,0000014177,1031
23496,Revenue from customer contracts,0000014177,1031
32248,Revenue from customer contracts,0000014177,1031
40624,Sales return and allowances,0000014177,1031
97,Goodwill,0000014195,0630
98,Other contingent liabilities,0000014195,0630
14538,Sales return and allowances,0000014272,1231
14539,Uncertain tax positions,0000014272,1231
1696,Sales return and allowances,0000014272,1231
1697,Uncertain tax positions,0000014272,1231
1698,Business combinations,0000014272,1231
23949,Sales return and allowances,0000014272,1231
23950,Uncertain tax positions,0000014272,1231
32647,Sales return and allowances,0000014272,1231
32648,Uncertain tax positions,0000014272,1231
40930,Sales return and allowances,0000014272,1231
40931,Uncertain tax positions,0000014272,1231
5087,Sales return and allowances,0000014272,1231
5088,Uncertain tax positions,0000014272,1231
12097,Other intangible assets,0000014693,0430
21521,Other intangible assets,0000014693,0430
30392,Other intangible assets,0000014693,0430
30393,Other intangible assets,0000014693,0430
38596,Other intangible assets,0000014693,0430
4264,Other intangible assets,0000014693,0430
4268,Other intangible assets,0000014693,0430
47704,Other intangible assets,0000014693,0430
10153,Other intangible assets,0000014707,0131
10154,"Property, plant and equipment",0000014707,0131
19238,Inventory,0000014707,0131
28124,Inventory,0000014707,0131
37292,Inventory,0000014707,0131
3736,Goodwill,0000014707,0131
