CRITICAL_AUDIT_MATTER_KEY,TOPIC_NAME,AUDIT_OPINION_FKEY,COMPANY_FKEY,FISCAL_YE
5866,Pension and other post-employment benefits,442762,0000005272,1231
5867,Business combinations,442762,0000005272,1231
5868,Deferred income taxes,442762,0000005272,1231
1060,Insurance contract liabilities,416419,0000005513,1231
16415,Insurance contract liabilities,475991,0000005513,1231
25107,Insurance contract liabilities,500802,0000005513,1231
33167,Insurance contract liabilities,525167,0000005513,1231
43568,Insurance contract liabilities,554262,0000005513,1231
5476,Insurance contract liabilities,442061,0000005513,1231
5477,Insurance contract liabilities,442061,0000005513,1231
10407,Sales return and allowances,451698,0000005981,1231
18396,Sales return and allowances,479322,0000005981,1231
27580,Sales return and allowances,505396,0000005981,1231
36854,Sales return and allowances,531717,0000005981,1231
36855,Goodwill,531717,0000005981,1231
47567,Sales return and allowances,565926,0000005981,1231
47568,Goodwill,565926,0000005981,1231
10017,Insurance contract liabilities,450532,0000006176,1231
18736,Insurance contract liabilities,479827,0000006176,1231
27765,Insurance contract liabilities,505659,0000006176,1231
36551,Insurance contract liabilities,531075,0000006176,1231
45125,Insurance contract liabilities,557761,0000006176,1231
1030,Revenue from customer contracts,416442,0000006201,1231
1031,Revenue from customer contracts,416442,0000006201,1231
15383,Revenue from customer contracts,474423,0000006201,1231
15384,Deferred income taxes,474423,0000006201,1231
24770,Deferred income taxes,500410,0000006201,1231
33292,Deferred income taxes,525227,0000006201,1231
41832,Deferred income taxes,551967,0000006201,1231
5578,Revenue from customer contracts,442204,0000006201,1231
5579,Deferred income taxes,442204,0000006201,1231
12465,Other expenses,461091,0000006207,0430
21837,Other expenses,489812,0000006207,0430
30749,Other expenses,515080,0000006207,0430
30750,Other expenses,515081,0000006207,0430
38913,Other expenses,539051,0000006207,0430
13787,Sales return and allowances,468714,0000006281,1030
13788,Business combinations,468714,0000006281,1030
22994,Sales return and allowances,494828,0000006281,1030
31760,Sales return and allowances,520125,0000006281,1030
334,Sales return and allowances,412197,0000006281,1030
335,Goodwill,412197,0000006281,1030
40110,Revenue from customer contracts,544467,0000006281,1030
4723,Sales return and allowances,436021,0000006281,1030
4724,Goodwill,436021,0000006281,1030
10429,Going concern,451767,0000006494,1231
19807,Going concern,482432,0000006494,1231
28382,Going concern,507171,0000006494,1231
15456,Proven and unproven reserves,474619,0000006769,1231
15457,Asset retirement and environmental obligations,474619,0000006769,1231
15458,Other contingent liabilities,474619,0000006769,1231
2402,Proven and unproven reserves,418539,0000006769,1231
2403,Asset retirement and environmental obligations,418539,0000006769,1231
24923,Proven and unproven reserves,500715,0000006769,1231
24924,Asset retirement and environmental obligations,500715,0000006769,1231
24925,Other contingent liabilities,500715,0000006769,1231
33610,Proven and unproven reserves,525630,0000006769,1231
33611,Asset retirement and environmental obligations,525630,0000006769,1231
33612,Other contingent liabilities,525630,0000006769,1231
7480,Proven and unproven reserves,444279,0000006769,1231
7481,Asset retirement and environmental obligations,444279,0000006769,1231
11199,Goodwill,453699,0000006845,0301
11200,Revenue from customer contracts,453699,0000006845,0301
20505,Revenue from customer contracts,484534,0000006845,0301
20506,Goodwill,484534,0000006845,0301
29336,Revenue from customer contracts,509553,0000006845,0301
29337,Goodwill and intangible assets,509553,0000006845,0301
37957,Revenue from customer contracts,534591,0000006845,0301
3892,Revenue from customer contracts,425216,0000006845,0301
3893,Goodwill,425216,0000006845,0301
46947,Revenue from customer contracts,562452,0000006845,0301
15939,Regulatory assets and liabilities,474977,0000006879,1231
24937,Regulatory assets and liabilities,500716,0000006879,1231
30141,Regulatory assets and liabilities,512584,0000006879,1231
34175,Regulatory assets and liabilities,526462,0000006879,1231
41320,Regulatory assets and liabilities,551223,0000006879,1231
41321,Asset retirement and environmental obligations,551223,0000006879,1231
6905,Regulatory assets and liabilities,443791,0000006879,1231
13910,Inventory,469509,0000006951,1025
23222,Inventory,495933,0000006951,1025
31956,Inventory,521272,0000006951,1025
397,Inventory,413047,0000006951,1025
398,Deferred income taxes,413047,0000006951,1025
40254,Revenue from customer contracts,545449,0000006951,1025
4832,Inventory,437158,0000006951,1025
13390,Goodwill,466241,0000006955,0831
177,Goodwill,410922,0000006955,0831
22682,Goodwill,493570,0000006955,0831
31454,Goodwill,518633,0000006955,0831
39752,Goodwill,542712,0000006955,0831
40333,Goodwill,545613,0000006955,0831
4594,Goodwill,434572,0000006955,0831
48640,Business combinations,574060,0000006955,0831
18173,Long-lived assets,478944,0000007039,1231
8715,Long-lived assets,447876,0000007039,1231
1000,Business combinations,416397,0000007084,1231
14978,Inventory,473959,0000007084,1231
24006,Inventory,499363,0000007084,1231
35834,Inventory,529771,0000007084,1231
35835,Goodwill,529771,0000007084,1231
40007,Inventory,544130,0000007084,1231
40008,Goodwill,544130,0000007084,1231
42150,Inventory,552297,0000007084,1231
42151,Goodwill,552297,0000007084,1231
5673,Inventory,442254,0000007084,1231
999,Inventory,416397,0000007084,1231
16640,Regulatory assets and liabilities,475579,0000007286,1231
25555,Regulatory assets and liabilities,501510,0000007286,1231
34258,Regulatory assets and liabilities,526771,0000007286,1231
42757,Regulatory assets and liabilities,553206,0000007286,1231
6356,Regulatory assets and liabilities,443275,0000007286,1231
16815,Regulatory assets and liabilities,475549,0000007323,1231
25416,Regulatory assets and liabilities,501322,0000007323,1231
33876,Regulatory assets and liabilities,526238,0000007323,1231
41677,Regulatory assets and liabilities,551767,0000007323,1231
41681,Regulatory assets and liabilities,551771,0000007323,1231
7431,Regulatory assets and liabilities,444319,0000007323,1231
7432,Uncertain tax positions,444319,0000007323,1231
7433,Asset retirement and environmental obligations,444319,0000007323,1231
17599,Proven and unproven reserves,476564,0000007332,1231
17600,Business combinations,476564,0000007332,1231
25085,Proven and unproven reserves,500871,0000007332,1231
2820,Proven and unproven reserves,418703,0000007332,1231
33486,Proven and unproven reserves,525643,0000007332,1231
8118,Proven and unproven reserves,445018,0000007332,1231
8119,Business combinations,445018,0000007332,1231
15388,Pension and other post-employment benefits,474424,0000007431,1231
1732,Pension and other post-employment benefits,417396,0000007431,1231
24440,Pension and other post-employment benefits,499969,0000007431,1231
33192,Pension and other post-employment benefits,525151,0000007431,1231
42770,Pension and other post-employment benefits,553215,0000007431,1231
4355,Pension and other post-employment benefits,430039,0000007431,1231
6117,Pension and other post-employment benefits,443038,0000007431,1231
6118,Other contingent liabilities,443038,0000007431,1231
14665,Inventory,473437,0000007536,1231
14666,Goodwill,473437,0000007536,1231
23722,Inventory,499023,0000007536,1231
23723,Goodwill,499023,0000007536,1231
32660,Inventory,524538,0000007536,1231
32661,Goodwill,524538,0000007536,1231
40883,Inventory,550695,0000007536,1231
40884,Goodwill,550695,0000007536,1231
5159,Inventory,441497,0000007536,1231
5160,Goodwill,441497,0000007536,1231
742,Inventory,416069,0000007536,1231
743,Goodwill,416069,0000007536,1231
15060,Inventory,474070,0000007623,1130
24215,Inventory,499706,0000007623,1130
34695,Inventory,527249,0000007623,1130
41657,Inventory,551750,0000007623,1130
14490,Allowance for credit losses,473154,0000007789,1231
32491,Allowance for credit losses,524256,0000007789,1231
39275,Allowance for credit losses,503248,0000007789,1231
40909,Allowance for credit losses,550856,0000007789,1231
5079,Asset retirement and environmental obligations,441385,0000007789,1231
5080,Goodwill,441385,0000007789,1231
677,Allowance for credit losses,415920,0000007789,1231
17784,Goodwill,477818,0000008063,1231
17785,Revenue from customer contracts,477818,0000008063,1231
27149,Goodwill,504612,0000008063,1231
27150,Revenue from customer contracts,504612,0000008063,1231
3220,Goodwill,419314,0000008063,1231
3221,Revenue from customer contracts,419314,0000008063,1231
35367,Goodwill,528418,0000008063,1231
35368,Revenue from customer contracts,528418,0000008063,1231
44290,Goodwill,555614,0000008063,1231
44291,Revenue from customer contracts,555614,0000008063,1231
7832,Goodwill,445297,0000008063,1231
7833,Revenue from customer contracts,445297,0000008063,1231
10861,Goodwill,452631,0000008146,0131
29133,Business combinations,509113,0000008146,0131
46713,Goodwill,561575,0000008146,0131
46714,Business combinations,561575,0000008146,0131
19165,Insurance contract liabilities,480768,0000008177,1231
19166,Insurance contract liabilities,480768,0000008177,1231
30566,Allowance for credit losses,514181,0000008177,1231
30567,Insurance contract liabilities,514181,0000008177,1231
30568,Deferred and capitalized costs,514181,0000008177,1231
37106,Insurance contract liabilities,532280,0000008177,1231
37107,Insurance contract liabilities,532280,0000008177,1231
45505,Insurance contract liabilities,558689,0000008177,1231
45506,Insurance contract liabilities,558689,0000008177,1231
9732,Insurance contract liabilities,449970,0000008177,1231
9733,Insurance contract liabilities,449970,0000008177,1231
16417,Regulatory assets and liabilities,475978,0000008192,1231
21689,Regulatory assets and liabilities,489119,0000008192,1231
24002,Regulatory assets and liabilities,499356,0000008192,1231
33310,Regulatory assets and liabilities,525347,0000008192,1231
41042,Regulatory assets and liabilities,550876,0000008192,1231
6366,Regulatory assets and liabilities,443402,0000008192,1231
10361,Shareholder valuation,451544,0000008504,1231
20085,Business combinations,483104,0000008504,1231
20086,Goodwill and intangible assets,483104,0000008504,1231
28848,Goodwill and intangible assets,508076,0000008504,1231
32314,Goodwill and intangible assets,523834,0000008504,1231
32674,Goodwill and intangible assets,524583,0000008504,1231
37157,Goodwill and intangible assets,532287,0000008504,1231
37710,Goodwill and intangible assets,533767,0000008504,1231
37711,Goodwill and intangible assets,533768,0000008504,1231
40116,Goodwill and intangible assets,544523,0000008504,1231
46160,Goodwill and intangible assets,560108,0000008504,1231
46161,Other debt,560108,0000008504,1231
46162,Shareholder valuation,560108,0000008504,1231
12534,Goodwill,461569,0000008670,0630
12535,Other liabilities and provisions,461569,0000008670,0630
17,Goodwill,408010,0000008670,0630
18,Other liabilities and provisions,408010,0000008670,0630
21959,Goodwill,490418,0000008670,0630
21960,Other liabilities and provisions,490418,0000008670,0630
30848,Goodwill,515558,0000008670,0630
30849,Other liabilities and provisions,515558,0000008670,0630
39056,Goodwill,539736,0000008670,0630
39057,Other liabilities and provisions,539736,0000008670,0630
4380,Goodwill,430411,0000008670,0630
4381,Other liabilities and provisions,430411,0000008670,0630
48116,Goodwill,569844,0000008670,0630
48117,Other liabilities and provisions,569844,0000008670,0630
15881,Deferred income taxes,475063,0000008818,1231
15882,Business combinations,475063,0000008818,1231
2075,Goodwill,417920,0000008818,1231
2076,Other income taxes,417920,0000008818,1231
24715,Deferred income taxes,500404,0000008818,1231
33423,Revenue from customer contracts,525336,0000008818,1231
43080,Revenue from customer contracts,553690,0000008818,1231
6609,Deferred income taxes,443730,0000008818,1231
12621,Other income taxes,462010,0000008858,0630
22055,Other income taxes,490769,0000008858,0630
30994,Other income taxes,516073,0000008858,0630
39136,Other income taxes,540033,0000008858,0630
4419,Other income taxes,430811,0000008858,0630
4420,Goodwill,430811,0000008858,0630
48216,Other income taxes,570431,0000008858,0630
18150,Deferred income taxes,478838,0000008868,1231
27300,Deferred income taxes,504929,0000008868,1231
27301,Other contingent liabilities,504929,0000008868,1231
8564,Deferred income taxes,446416,0000008868,1231
11221,Revenue from customer contracts,453714,0000008947,0228
20492,Revenue from customer contracts,484343,0000008947,0228
29434,Other intangible assets,509862,0000008947,0228
3952,Revenue from customer contracts,425606,0000008947,0228
3953,Disposals and divestitures,425606,0000008947,0228
3954,Other income taxes,425606,0000008947,0228
15877,Warranty liabilities,475055,0000009092,1231
15878,Business combinations,475055,0000009092,1231
1610,Warranty liabilities,417054,0000009092,1231
24713,Warranty liabilities,500402,0000009092,1231
33045,Warranty liabilities,525000,0000009092,1231
41472,Warranty liabilities,551436,0000009092,1231
6446,Warranty liabilities,443626,0000009092,1231
6447,Business combinations,443626,0000009092,1231
1573,Business combinations,417125,0000009326,1231
1574,Goodwill,417125,0000009326,1231
15896,Goodwill,474992,0000009326,1231
25352,Business combinations,501258,0000009326,1231
25353,Goodwill,501258,0000009326,1231
33065,Goodwill,524975,0000009326,1231
42358,Goodwill,552693,0000009326,1231
5898,Goodwill,442601,0000009326,1231
8908,Other contingent liabilities,448351,0000009346,1231
8909,Allowance for credit losses,448351,0000009346,1231
1214,Goodwill,416608,0000009389,1231
1215,Revenue from customer contracts,416608,0000009389,1231
14916,Revenue from customer contracts,473869,0000009389,1231
24581,Revenue from customer contracts,500110,0000009389,1231
33095,Revenue from customer contracts,525117,0000009389,1231
42105,Revenue from customer contracts,552236,0000009389,1231
5469,Revenue from customer contracts,442052,0000009389,1231
16484,Regulatory assets and liabilities,476019,0000009466,1231
23981,Regulatory assets and liabilities,499339,0000009466,1231
33267,Regulatory assets and liabilities,525296,0000009466,1231
40923,Regulatory assets and liabilities,550822,0000009466,1231
6371,Regulatory assets and liabilities,443405,0000009466,1231
13747,Allowance for credit losses,468452,0000009631,1031
13748,Other investments,468452,0000009631,1031
13749,Uncertain tax positions,468452,0000009631,1031
13750,Allowance for credit losses,468453,0000009631,1031
13751,Other investments,468453,0000009631,1031
13752,Uncertain tax positions,468453,0000009631,1031
13758,Allowance for credit losses,468467,0000009631,1031
13759,Other investments,468467,0000009631,1031
13760,Uncertain tax positions,468467,0000009631,1031
23097,Allowance for credit losses,495327,0000009631,1031
23098,Other investments,495327,0000009631,1031
23099,Uncertain tax positions,495327,0000009631,1031
23102,Allowance for credit losses,495326,0000009631,1031
23103,Other investments,495326,0000009631,1031
23104,Uncertain tax positions,495326,0000009631,1031
317,Allowance for credit losses,412185,0000009631,1031
318,Other investments,412185,0000009631,1031
31801,Allowance for credit losses,520352,0000009631,1031
31802,Other investments,520352,0000009631,1031
31803,Uncertain tax positions,520352,0000009631,1031
31807,Allowance for credit losses,520359,0000009631,1031
31808,Other investments,520359,0000009631,1031
31809,Uncertain tax positions,520359,0000009631,1031
319,Uncertain tax positions,412185,0000009631,1031
323,Allowance for credit losses,412202,0000009631,1031
324,Other investments,412202,0000009631,1031
325,Uncertain tax positions,412202,0000009631,1031
326,Allowance for credit losses,412199,0000009631,1031
327,Other investments,412199,0000009631,1031
328,Uncertain tax positions,412199,0000009631,1031
39256,Allowance for credit losses,495234,0000009631,1031
39257,Other investments,495234,0000009631,1031
39258,Uncertain tax positions,495234,0000009631,1031
40145,Allowance for credit losses,544767,0000009631,1031
40146,Other investments,544767,0000009631,1031
40147,Uncertain tax positions,544767,0000009631,1031
40154,Allowance for credit losses,544844,0000009631,1031
40155,Other investments,544844,0000009631,1031
40156,Uncertain tax positions,544844,0000009631,1031
4787,Allowance for credit losses,436484,0000009631,1031
4788,Other investments,436484,0000009631,1031
4789,Uncertain tax positions,436484,0000009631,1031
4790,Allowance for credit losses,436485,0000009631,1031
4791,Other investments,436485,0000009631,1031
4792,Uncertain tax positions,436485,0000009631,1031
4800,Allowance for credit losses,436572,0000009631,1031
4801,Other investments,436572,0000009631,1031
4802,Uncertain tax positions,436572,0000009631,1031
29388,Deferred and capitalized costs,509740,0000009712,
29389,Other investments,509740,0000009712,
29390,Insurance contract liabilities,509740,0000009712,
29660,Deferred and capitalized costs,510511,0000009712,
29661,Other investments,510511,0000009712,
29662,Insurance contract liabilities,510511,0000009712,
37901,Other investments,534477,0000009712,
37902,Insurance contract liabilities,534477,0000009712,
38222,Other investments,535978,0000009712,
38223,Insurance contract liabilities,535978,0000009712,
39473,Other investments,541223,0000009712,
39474,Insurance contract liabilities,541223,0000009712,
39475,Other investments,541224,0000009712,
39476,Insurance contract liabilities,541224,0000009712,
39614,Other investments,541997,0000009712,
39615,Insurance contract liabilities,541997,0000009712,
39628,Other investments,541998,0000009712,
39629,Insurance contract liabilities,541998,0000009712,
47032,Other investments,563063,0000009712,
47033,Insurance contract liabilities,563063,0000009712,
15411,Goodwill,474486,0000009984,1231
1767,Goodwill,417455,0000009984,1231
24509,Goodwill,500103,0000009984,1231
34050,Goodwill,526400,0000009984,1231
34051,Business combinations,526400,0000009984,1231
5995,Goodwill,442989,0000009984,1231
13946,Proven and unproven reserves,469786,0000010048,0930
13947,Revenue from customer contracts,469786,0000010048,0930
13948,Proven and unproven reserves,469786,0000010048,0930
23323,Proven and unproven reserves,496550,0000010048,0930
23324,Revenue from customer contracts,496550,0000010048,0930
31968,Proven and unproven reserves,521319,0000010048,0930
31969,Revenue from customer contracts,521319,0000010048,0930
40283,Proven and unproven reserves,545532,0000010048,0930
40284,Revenue from customer contracts,545532,0000010048,0930
18073,Proven and unproven reserves,478593,0000010254,1231
18074,Proven and unproven reserves,478593,0000010254,1231
26940,Proven and unproven reserves,503760,0000010254,1231
26941,Proven and unproven reserves,503760,0000010254,1231
31207,Proven and unproven reserves,517178,0000010254,1231
31208,Proven and unproven reserves,517178,0000010254,1231
8813,Proven and unproven reserves,448123,0000010254,1231
14207,Inventory,472270,0000010329,1129
23477,Inventory,498032,0000010329,1129
32212,Inventory,523435,0000010329,1129
40833,Inventory,550652,0000010329,1129
11494,Deferred income taxes,455235,0000010456,1231
15516,Deferred income taxes,474646,0000010456,1231
15517,Business combinations,474646,0000010456,1231
23738,Goodwill,498957,0000010456,1231
23739,Other intangible assets,498957,0000010456,1231
32443,Goodwill,524192,0000010456,1231
3464,Foreign currency translation,422101,0000010456,1231
3465,Deferred income taxes,422101,0000010456,1231
42208,Goodwill,552372,0000010456,1231
5156,Deferred income taxes,441495,0000010456,1231
13715,Other contingent liabilities,468225,0000010795,0930
13716,Uncertain tax positions,468225,0000010795,0930
13717,Goodwill,468225,0000010795,0930
22978,Other contingent liabilities,494817,0000010795,0930
22979,Uncertain tax positions,494817,0000010795,0930
31743,Other contingent liabilities,520053,0000010795,0930
31744,Uncertain tax positions,520053,0000010795,0930
355,Other contingent liabilities,412269,0000010795,0930
356,Uncertain tax positions,412269,0000010795,0930
357,Goodwill,412269,0000010795,0930
40123,Business combinations,544556,0000010795,0930
40124,Uncertain tax positions,544556,0000010795,0930
4757,Other contingent liabilities,436213,0000010795,0930
4758,Uncertain tax positions,436213,0000010795,0930
4759,Goodwill,436213,0000010795,0930
