Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,,,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,565005,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Japan LLC",882,2743,Nagoya,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-05-02,6-K,2025-05-13,No,,,,"GAAP - Japan",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"57,846,656","4,263,217","62,109,873",177.31,2025-04-02,"238,910,537,728",2025-03-31,"321,230,000,000","32,030,000,000","231,120,000,000","625,929,000,000",,,,,,
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,,,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,567110,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Japan LLC",882,2743,Nagoya,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-06-18,20-F,2025-06-18,No,,,2,"IFRS - IASB",Yes,Yes,,,,,,2006,Since,,,"Large Accelerated Filer",2025,"57,846,656","4,263,217","62,109,873",177.31,2025-04-02,"238,910,537,728",2025-03-31,"321,230,000,000","32,030,000,000","231,120,000,000","625,929,000,000",,,,,,
"TOYOTA MOTOR CORP/",1094517,TM,NYSE,,,"1 TOYATA-CHO","AICHI PREFECTURE 471-8571","TOYOTA CITY",,M0,JAPAN,Foreign,"471 8571",81-565-28-2121,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,564980,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Japan LLC",882,2743,Nagoya,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-05-02,6-K,2025-05-13,No,,,,"IFRS - IASB",No,No,,,,,,,,,,"Large Accelerated Filer",2025,"57,846,656","4,263,217","62,109,873",177.31,2025-04-02,"238,910,537,728",2025-03-31,"321,230,000,000","32,030,000,000","231,120,000,000","625,929,000,000",,,,,,
"INTUIT INC.",896878,INTU,"NASDAQ Global Select Market","S&P 500","Russell 1000","2700 COAST AVENUE",,"MOUNTAIN VIEW","Santa Clara",CA,CALIFORNIA,"US West",94043,"(650) 944-6000",,,7372,"Prepackaged Software",511210,"Software Publishers",34,571408,"Ernst & Young LLP",2,0042,,,,"San Jose",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-03,10-K,2025-09-03,No,,,1,"GAAP - US",Yes,No,,,,,,1990,Since,,,"Large Accelerated Filer",2025,"13,343,000",0,"13,343,000",806.34,2025-07-29,"224,926,121,984",2025-07-31,"18,831,000,000","3,869,000,000","428,000,000","36,958,000,000",,,,,,
"INTUIT INC.",896878,INTU,"NASDAQ Global Select Market","S&P 500","Russell 1000","2700 COAST AVENUE",,"MOUNTAIN VIEW","Santa Clara",CA,CALIFORNIA,"US West",94043,"(650) 944-6000",,,7372,"Prepackaged Software",511210,"Software Publishers",34,575901,"Ernst & Young LLP",2,0042,,,,"San Jose",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-03,8-K,2025-11-20,No,,,1,"GAAP - US",Yes,Yes,2025-11-20,,,,,1990,Since,,,"Large Accelerated Filer",2025,"13,343,000",0,"13,343,000",806.34,2025-07-29,"224,926,121,984",2025-07-31,"18,831,000,000","3,869,000,000","428,000,000","36,958,000,000",,,,,,
"Walt Disney Co",1744489,DIS,NYSE,"S&P 500","Russell 1000","500 SOUTH BUENA VISTA STREET",,BURBANK,"Los Angeles",CA,CALIFORNIA,"US West",91521,"(818) 560-1000",,,7990,"Services-Miscellaneous Amusement & Recreation",713110,"Amusement and Theme Parks",34,575517,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-09-27,2025,09,2025-11-13,10-K,2025-11-13,No,,,1,"GAAP - US",Yes,No,,,,,,1938,Since,,,"Large Accelerated Filer",,,,,114.5,2025-09-30,"205,069,500,416",2025-09-27,"94,425,000,000","12,404,000,000","-4,024,000,000","197,514,000,000",,,,,,
"QUALCOMM INC/DE",804328,QCOM,"NASDAQ Global Select Market","S&P 500","Russell 1000","5775 MOREHOUSE DR",,"SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92121,"(858) 587-1121",,,3663,"Radio and Television Broadcasting and Communications Equipment",334290,"Other Communications Equipment Manufacturing",34,574983,"PricewaterhouseCoopers LLP",1,0238,,,,"San Diego",CA,CALIFORNIA,"US West",2025-09-28,2025,09,2025-11-05,10-K,2025-11-05,No,,,1,"GAAP - US",Yes,No,,,,,,1985,Since,,,"Large Accelerated Filer",,,,,166.36,2025-09-30,"178,670,632,960",2025-09-28,"44,284,000,000","5,541,000,000","8,700,000,000","50,143,000,000",,,,,,
"Accenture plc",1467373,ACN,NYSE,"S&P 500","Russell 1000","1 GRAND CANAL SQUARE","GRAND CANAL HARBOUR",DUBLIN,,L2,IRELAND,Foreign,D2,353-1-646-2000,,,7389,"Business Services, NEC",541611,"Administrative Management and General Management Consulting Services",34,573851,"KPMG LLP",4,0185,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-31,2025,08,2025-10-10,10-K,2025-10-10,No,,,2,"GAAP - US",Yes,No,,,,,,2002,Since,,,"Large Accelerated Filer",,,,,256.17,2025-09-02,"174,283,554,816",2025-08-31,"69,672,977,000","7,678,433,000","6,248,275,000","65,394,897,000",,,,,,
"HDFC BANK LTD",1144967,HDB,NYSE,,,"HDFC BANK HOUSE","SENAPATI BAPAT ROAD",MUBAI,,K7,INDIA,Foreign,400013,"=""91224957676""",,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,568458,"KPMG LLP",4,0185,"KPMG Assurance and Consulting Services LLP (2115)",827,2115,Mumbai,K7,INDIA,Foreign,2025-03-31,2025,03,2025-07-14,20-F,2025-07-14,No,,,2,"GAAP - US",Yes,No,,,,,,2015,Since,,,"Large Accelerated Filer",2025,"3,822,286","62,641","3,884,927",66.11,2025-04-02,"167,410,581,504",2025-03-31,"25,623,700,000","7,879,800,000","54,713,500,000","563,779,800,000",,,,,,
"MITSUBISHI UFJ FINANCIAL GROUP INC",67088,MUFG,NYSE,,,"4-5, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-8330,"(212) 530-1784",,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,568114,"Deloitte & Touche LLP",3,0034,"Deloitte Touche Tohmatsu LLC",19,1044,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-07-07,20-F,2025-07-07,No,,,3,"GAAP - US",Yes,No,,,,,,1976,Since,,,"Large Accelerated Filer",2025,"60,317,609","4,217,093","64,534,702",13.22,2025-04-02,"163,104,538,624",2025-03-31,"32,550,000,000","8,472,000,000","109,167,000,000","2,714,593,000,000",,,,,,
"Sony Group Corp",313838,SONY,NYSE,,,"1-7-1, KONAN",MINATO-KU,TOKYO,,M0,JAPAN,Foreign,141-0001,81-3-6748-2111,,,3651,"Household Audio and Video Equipment",334310,"Audio and Video Equipment Manufacturing",34,567181,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Japan LLC",882,2743,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-06-20,20-F,2025-06-20,No,,,1,"IFRS - IASB",Yes,No,,,,,,2006,Since,,,"Large Accelerated Filer",2025,"41,281,387","4,454,305","45,735,692",24.84,2025-04-02,"151,703,945,216",2025-03-31,"86,646,000,000","7,756,000,000","40,122,000,000","236,012,000,000",,,,,,
"LOWES COMPANIES INC",60667,LOW,NYSE,"S&P 500","Russell 1000","1000 LOWES BLVD.",,MOORESVILLE,Iredell,NC,"NORTH CAROLINA","US Southeast",28117,"(704) 758-1000",,,5211,"Lumber and Other Building Materials Dealers",444110,"Home Centers",34,558548,"Deloitte & Touche LLP",3,0034,,,,Charlotte,NC,"NORTH CAROLINA","US Southeast",2025-01-31,2025,01,2025-03-24,10-K,2025-03-24,No,,,1,"GAAP - US",Yes,No,,,,,,1962,Since,,,"Large Accelerated Filer",2025,"4,601,085","126,795","4,727,880",261.73,2025-01-29,"147,785,842,688",2025-01-31,"83,674,000,000","6,957,000,000",,"43,102,000,000",,,,,,
"TJX COMPANIES INC /DE/",109198,TJX,NYSE,"S&P 500","Russell 1000","770 COCHITUATE RD",,FRAMINGHAM,Middlesex,MA,MASSACHUSETTS,"US New England",01701,"(508) 390-1000",,,5651,"Family Clothing Stores",452990,"All Other General Merchandise Stores",34,560408,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-02-01,2025,1,2025-04-02,10-K,2025-04-02,No,,,1,"GAAP - US",Yes,No,,,,,,1962,Since,,,"Large Accelerated Filer",2025,"9,987,000","2,104,000","12,091,000",124.31,2025-02-03,"139,744,083,968",2025-02-01,"56,360,000,000","4,864,000,000","8,299,000,000","31,749,000,000",,,,,,
"MICRON TECHNOLOGY INC",723125,MU,"NASDAQ Global Select Market","S&P 500","Russell 1000","8000 S FEDERAL WAY","PO BOX 6",BOISE,Ada,ID,IDAHO,"US West",83716-9632,"(208) 368-4000",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,573499,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-08-28,2025,08,2025-10-03,10-K,2025-10-03,No,,,1,"GAAP - US",Yes,No,,,,,,1984,Since,,,"Large Accelerated Filer",2025,"10,300,000","1,400,000","11,700,000",116.5,2025-08-26,"130,378,072,064",2025-08-28,"37,378,000,000","8,539,000,000","52,562,000,000","82,798,000,000",,,,,,
"Palo Alto Networks Inc",1327567,PANW,"NASDAQ Global Select Market","S&P 500","Russell 1000","3000 TANNERY WAY",,"SANTA CLARA","Santa Clara",CA,CALIFORNIA,"US West",95054,"(408) 753-4000",,,3577,"Computer Peripheral Equipment, NEC",511210,"Software Publishers",34,571098,"Ernst & Young LLP",2,0042,,,,"San Mateo",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-08-29,10-K,2025-08-29,No,,,2,"GAAP - US",Yes,No,,,,,,2009,Since,,,"Large Accelerated Filer",2025,"7,059,000","1,427,000","8,486,000",193.84,2025-07-29,"129,252,515,840",2025-07-31,"9,221,500,000","1,133,900,000","2,495,100,000","23,576,200,000",,,,,,
"LAM RESEARCH CORP",707549,LRCX,"NASDAQ Global Select Market","S&P 500","Russell 1000","4650 CUSHING BLVD",,FREMONT,Alameda,CA,CALIFORNIA,"US West",94538,"(510) 659-0200",,,3559,"Special  Industry Machinery, NEC",333295,"Semiconductor Machinery Manufacturing",34,570131,"Ernst & Young LLP",2,0042,,,,"San Jose",CA,CALIFORNIA,"US West",2025-06-29,2025,06,2025-08-11,10-K,2025-08-11,No,,,1,"GAAP - US",Yes,No,,,,,,1981,Since,,,"Large Accelerated Filer",2025,"7,953,223","236,158","8,189,381",96.81,2025-07-01,"123,831,410,688",2025-06-29,"18,435,591,000","5,358,217,000","8,052,934,000","21,345,260,000",,,,,,
"AUTOMATIC DATA PROCESSING INC",8670,ADP,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE ADP BOULVARD",,ROSELAND,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07068,"(973) 974-5000",,,7374,"Computer Processing and Data Preparation and Processing Services",518210,"Data Processing, Hosting, and Related Services",34,569844,"Deloitte & Touche LLP",3,0034,,,,Morristown,NJ,"NEW JERSEY","US Mid Atlantic",2025-06-30,2025,06,2025-08-06,10-K,2025-08-06,No,,,2,"GAAP - US",Yes,No,,,,,,1968,Since,,,"Large Accelerated Filer",2025,"10,533,000","621,000","11,154,000",305.05,2025-07-02,"123,826,733,056",2025-06-30,"20,560,900,000","4,079,700,000","1,311,500,000","53,369,300,000",,,,,,
"BHP Group Ltd",811809,BHP,NYSE,,,"LEVEL 27","180 LONSDALE STREET",MELBOURNE,,C3,AUSTRALIA,Foreign,3000,"=""011611300554757""",,,1000,"Metal mining",212210,"Iron Ore Mining",34,570713,"Ernst & Young LLP",2,0042,"Ernst & Young",32,1435,Melbourne,C3,AUSTRALIA,Foreign,2025-06-30,2025,06,2025-08-22,20-F,2025-08-22,No,,,3,"IFRS - IASB",Yes,Yes,,,,,,2019,Since,,,"Large Accelerated Filer",2025,"10,846,000","3,907,000","14,753,000",48.09,2025-06-30,"122,035,363,840",2025-06-30,"51,262,000,000","9,019,000,000","45,741,000,000","108,790,000,000",,,,,,
"BHP Group Ltd",811809,BHP,NYSE,,,"LEVEL 27","180 LONSDALE STREET",MELBOURNE,,C3,AUSTRALIA,Foreign,3000,"=""011611300554757""",,,1000,"Metal mining",212210,"Iron Ore Mining",34,570592,"Ernst & Young LLP",2,0042,"Ernst & Young",32,1435,Melbourne,C3,AUSTRALIA,Foreign,2025-06-30,2025,06,2025-08-19,6-K,2025-08-19,No,,,,"AS - Australia",No,No,,,,,,,,,,"Large Accelerated Filer",2025,"10,846,000","3,907,000","14,753,000",48.09,2025-06-30,"122,035,363,840",2025-06-30,"51,262,000,000","9,019,000,000","45,741,000,000","108,790,000,000",,,,,,
"KLA CORP",319201,KLAC,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE TECHNOLOGY DRIVE",,MILPITAS,"Santa Clara",CA,CALIFORNIA,"US West",95035,"(408) 875-3000",,,3827,"Optical Instruments and Lenses",334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals",34,570014,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-06-30,2025,06,2025-08-08,10-K,2025-08-08,No,,,1,"GAAP - US",Yes,No,,,,,,1977,Since,,,"Large Accelerated Filer",2025,"6,100,000","1,000,000","7,100,000",921.1,2025-07-02,"121,807,577,088",2025-06-30,"12,156,162,000","4,061,643,000","2,455,475,000","16,067,926,000",,,,,,
"SPDR GOLD TRUST",1222333,GLD,"NYSE Arca",,,"C/O WORLD GOLD TRUST SERVICES, LLC","685 THIRD AVENUE, SUITE 2702","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 317-3800",,,6221,"Commodity Contracts Brokers and Dealers",525990,"Other Financial Vehicles",34,576037,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-30,2025,09,2025-11-25,10-K,2025-11-25,No,,,1,"GAAP - US",Yes,No,,,,,,2010,Since,,,"Large Accelerated Filer",2025,"403,500","31,050","434,550",354.79,2025-10-02,"118,357,942,272",2025-09-30,,"35,553,539,000",,"124,571,115,000",,,,,,
"ANALOG DEVICES INC",6281,ADI,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE ANALOG WAY",,WILMINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01887,"(781) 329-4700",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,576071,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-11-01,2025,10,2025-11-25,10-K,2025-11-25,No,,,1,"GAAP - US",Yes,No,,,,,,1967,Since,,,"Large Accelerated Filer",,,,,233.61,2025-11-03,"114,925,707,264",2025-11-01,"11,019,707,000","2,267,342,000","-1,143,240,000","47,992,712,000",,,,,,
"ARM HOLDINGS PLC /UK",1973239,ARM,"NASDAQ Global Select Market",,,"110 FULBOURN ROAD",,CAMBRIDGE,,X0,"UNITED KINGDOM",Foreign,"CB1 9NJ","44 1223 400 400",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,572472,"Deloitte & Touche LLP",3,0034,"Deloitte LLP",293,1147,London,X0,"UNITED KINGDOM",Foreign,2025-03-31,2025,03,2025-05-28,6-K,2025-09-18,No,,,,"GAAP - UK",Yes,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"13,000,000",0,"13,000,000",108.14,2025-04-02,"112,501,342,208",2025-03-31,"4,007,000,000","792,000,000","5,068,000,000","8,932,000,000",,,,,,
"ARM HOLDINGS PLC /UK",1973239,ARM,"NASDAQ Global Select Market",,,"110 FULBOURN ROAD",,CAMBRIDGE,,X0,"UNITED KINGDOM",Foreign,"CB1 9NJ","44 1223 400 400",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,565826,"Deloitte & Touche LLP",3,0034,,,,"San Jose",CA,CALIFORNIA,"US West",2025-03-31,2025,03,2025-05-28,20-F,2025-05-28,No,,,1,"GAAP - US",Yes,No,,,,,,2022,Since,,,"Large Accelerated Filer",2025,"13,000,000",0,"13,000,000",108.14,2025-04-02,"112,501,342,208",2025-03-31,"4,007,000,000","792,000,000","5,068,000,000","8,932,000,000",,,,,,
